,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0032931155734848396,0.4669031716337428,0.35460453788338714,0.01611369509686664,0.03192904106821768,0.7523762621153295,0.17719003976469097,0.6073901330177289,0.05313132583062477
1,KNN,0.022287523106637213,0.5718438426220829,0.3076019923958736,0.015843085990892618,0.040465877528251475,0.6044556405155176,0.296233398128824,0.42476278750215357,0.04957982416478436
2,KthNN,0.014507282022208539,0.5561006557163202,0.31600383743240884,0.015830323147574897,0.03896670333298215,0.5739445114748644,0.25352059130052945,0.4276622380741489,0.04574742399804263
3,LOF,0.10540114431489529,0.28462741151931736,0.5300753933414162,0.017375074984806123,0.04146606061230329,0.029040234096336628,0.3072783973064824,0.36073358109608356,0.07277245673983151
4,CBLOF,0.004872671802142422,0.09088855284439261,0.014612585134512236,0.015160295567667662,0.03540662065467947,0.53535049244377,0.07850452432746652,0.02904926352812507,0.07027715990477477
5,uCBLOF,0.00960908403870026,0.5447736513838125,0.23058006435817419,0.01601910155299487,0.040911569595907915,0.1628378954638179,0.2223702311524039,0.43898360196181896,0.042796406534716995
6,LOoP,0.0799013533097766,0.2338448043606758,0.3569137640419642,0.017501609139596648,0.0459942723395568,0.03297613908220373,0.3203701884006236,0.24056975803662306,0.08089478160012373
7,LDCOF,0.00879759015819493,0.3234261208461511,0.19029017857142855,0.014975884845887499,0.03843799952938013,0.06932588699950562,0.13286819047745432,0.112123559831699,0.04322903343934577
8,HBOS,0.00351107848034444,0.3394348051611801,0.21733212616289982,0.015471427393632772,0.03172433438539376,0.6774955542962413,0.12886984542511765,0.6388661445202982,0.08075505368570589
9,OCSVM,0.004619555682166974,0.5357589741821396,0.2957463564256741,0.018641149255014283,0.036980824210120264,0.08572696029587926,0.24443641096390267,0.4258634347491048,0.04081121066524983
10,Nu-OCSVM,0.005185554084665198,0.5389690255263495,0.29900083277724954,0.015350129632782252,0.038159311254407566,0.14373102175195793,0.2679230896717232,0.4247494335354116,0.04081121066524983
