,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0035107942467455817,0.3667106744600675,0.2230137444837697,0.01658000639545418,0.03176574571532853,0.126873892343436,0.22366920375094151,0.1548519804829598,0.04498564935850574
1,KNN,0.005902240667730913,0.38550070219816557,0.23248929708149552,0.01594598656550048,0.035811924877262105,0.4328756603246254,0.24730946314066987,0.1788053639482972,0.05407973603989797
2,KthNN,0.004842229562991917,0.38054630680074775,0.23627729266824726,0.015915558059158792,0.0352808653867116,0.3303510523529641,0.22243826577534692,0.17189327595762685,0.049751446121021406
3,LOF,0.014560235267942005,0.2532365519990598,0.11830498085521834,0.022479307511932514,0.0338976333943578,0.10563743349267103,0.16556581331835374,0.20435000850912982,0.06849572029128687
4,CBLOF,0.001006158102831842,0.0837772878374225,0.017651203210215613,0.021248044599533514,0.03270616418344637,0.1274335700494571,0.05222095690832031,0.011713608713317631,0.045224839188631426
5,uCBLOF,0.003734408675386977,0.44206838290756156,0.2118216581684274,0.015902402480607217,0.035684426878904614,0.05194404123496337,0.23732554986660298,0.1614842299184481,0.050378364126478184
6,LOoP,0.01059861331124025,0.2673349090920655,0.05733970098390303,0.04249570431305588,0.03466889520678233,0.07029961698696534,0.16782010197316594,0.16848330858938027,0.07813841814348649
7,LDCOF,0.002964211150719551,0.31332995350452,0.2974330357142857,0.00820168609441644,0.035084732996807005,0.058001823416030954,0.1363352146559708,0.03542548896878753,0.0397336994035022
8,HBOS,0.0028352439792802848,0.3162066681926994,0.09472678183224986,0.015620379170401115,0.030396439849245893,0.055241552686726515,0.14633323661722344,0.1344989132126329,0.0588589740975156
9,OCSVM,0.0034200150266096717,0.3583018444566223,0.23078958473463798,0.014406769050701299,0.03408117259550079,0.025910052833204404,0.2311537403217724,0.16187242778729916,0.044962204709744005
10,Nu-OCSVM,0.003431096122400605,0.3613281828249499,0.23144072238267965,0.019267184565675593,0.034916944752351194,0.031130453877931338,0.23521793887423104,0.16837793075136398,0.044962204709744005
11,RED1,0.003210158355525422,0.3529853636503435,0.2223451135469335,0.01577833524326485,0.03466865929680074,0.022447070004695063,0.2090045014912502,0.15138317238644844,0.04121347029257953
12,RED2,0.0032062610025044916,0.3532926577203023,0.22375162056631287,0.015765261927743836,0.034670979640524485,0.09939365556401154,0.20562054520620276,0.18011828513705497,0.07068656496053873
