,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.719149971118475,0.8943481965350752,0.948938611589214,0.47259605458265297,0.5218326675754719,0.9927153615451665,0.7778911564625851,0.9398095508811826,0.5287986038821872
1,KNN,0.9539415681147965,0.930417495029821,0.9300057372346529,0.4922058299078401,0.534319058931288,0.9829094271387103,0.8521496598639456,0.8757816941444003,0.586845875941461
2,KthNN,0.936886267594929,0.9274511660197544,0.9328743545611016,0.4925953037896278,0.5294250942059648,0.9819252513563087,0.8325850340136055,0.8770498972318188,0.5699014144877839
3,LOF,0.9846471893715988,0.7857931774432768,0.9437751004016064,0.49491337725472534,0.5699718933234061,0.567680652832101,0.8653197278911565,0.9204366554423404,0.6202406466229871
4,CBLOF,0.8577204876417476,0.3744201457919152,0.09466437177280551,0.47203295981380333,0.5365695068615688,0.9092774243421395,0.5247755102040816,0.2944144400227402,0.5627052844283877
5,uCBLOF,0.9195573526282189,0.9135977784089115,0.8714859437751004,0.49451921091653056,0.5289903736278648,0.9457195729624412,0.828625850340136,0.8877366948003674,0.5526140469046599
6,LOoP,0.9855896391329462,0.7695730379626999,0.9110728628800918,0.49937590329785836,0.5881192770043708,0.5399570985273926,0.8718367346938776,0.9228200026238685,0.6614738840242484
7,LDCOF,0.8885781169245737,0.8339171321278678,0.5674125071715432,0.50821179871239,0.5376099627550547,0.8520056145435941,0.721156462585034,0.8447161848952639,0.5374490233298634
8,HBOS,0.7369349101632566,0.842153428634542,0.9420539300057372,0.47025921129192705,0.5076853967140174,0.9827300043033963,0.7496326530612245,0.9513764376612586,0.6773253321903129
9,OCSVM,0.8129389231751436,0.9122408406702642,0.9242685025817555,0.5164001351427445,0.5207989072018797,0.8412795329808573,0.8094013605442176,0.8881794726024401,0.5291090563958116
10,Nu-OCSVM,0.8303286413522634,0.9120199438290888,0.927710843373494,0.5573512022073315,0.5272200781679629,0.9156079267082432,0.8169795918367347,0.8942089036602965,0.5291090563958116
