,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7361748700331379,0.8952633405913724,0.9099254159495123,0.4626011224355726,0.5196950949513994,0.9441362594389993,0.7831428571428571,0.8690197664757074,0.5661527156940787
1,KNN,0.7938163135013528,0.8906560636182903,0.9082042455536432,0.4799725960545827,0.6000452393960819,0.9357721793708581,0.8236734693877551,0.8388398128307168,0.540873185965342
2,KthNN,0.7835405709421457,0.8876108428792325,0.9053356282271945,0.4754584529909717,0.583785783090152,0.924363847700027,0.8110748299319728,0.8403048060523899,0.5381115669585451
3,LOF,0.7584592466482231,0.8222095995455837,0.8984509466437177,0.5130356438988682,0.6225464546329427,0.4964229578677372,0.8211564625850339,0.8484606638387195,0.550000612332374
4,CBLOF,0.24175356458821026,0.30960270125280065,0.19334480780263918,0.5118156052330274,0.5295231138274091,0.42393111304581343,0.393795918367347,0.2823883762627367,0.5262911028106056
5,uCBLOF,0.7844830207034932,0.8753510681940104,0.9185312679288583,0.49825440621656625,0.5321567965776073,0.8735042512918471,0.8173061224489796,0.8468316788385009,0.5382046414793951
6,LOoP,0.7558143069954093,0.8480229732714822,0.9082042455536432,0.5164799069016649,0.6282688225571171,0.47687521959678525,0.8354421768707483,0.8527627148292299,0.5119331333047578
7,LDCOF,0.4952117471802511,0.5324876139985484,0.7091222030981067,0.4647408825572011,0.5213117561277398,0.8813037176095538,0.536734693877551,0.5494489876240872,0.5135582634253874
8,HBOS,0.7218405131790959,0.9021426993593992,0.8393574297188755,0.4764344839236443,0.49547370301084137,0.9549688430539386,0.8063673469387757,0.8710915292779989,0.5403637254301634
9,OCSVM,0.758337640227404,0.8502634983748304,0.904188181296615,0.4803386076543349,0.48512710217006266,0.891121780000902,0.7744897959183673,0.8201447500765295,0.5158104218970057
10,Nu-OCSVM,0.7450521387529261,0.8417116349521915,0.9024670109007458,0.4809767817256978,0.48328563891329035,0.893888387378029,0.7681360544217687,0.8221345169895482,0.5158104218970057
11,RED1,0.7741768765390813,0.8955473508157406,0.9093516924842225,0.4641871727011656,0.5029446338532628,0.4170054221774472,0.796,0.8503137709362837,0.5094372665482824
12,RED2,0.7177210956738516,0.903594307172836,0.8835341365461847,0.4674437374476791,0.5065234171344603,0.8013888581018124,0.8095238095238094,0.8707580793282896,0.5726250688873921
