,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0032845570287310497,0.4416476477154961,0.2251249339164535,0.014597024599915309,0.04008697066325604,0.27268984152632125,0.2069490638618202,0.22633762592550224,0.04976463469232126
1,KNN,0.004488988212235575,0.4177887016532582,0.3252467024658248,0.016157110726117856,0.056580035227799086,0.3365263558070937,0.2667884976384805,0.1278299082908624,0.046523167875403865
2,KthNN,0.004169683790167604,0.4126537846745064,0.3243986449554248,0.01609376704682943,0.05197112178012613,0.33599678957272994,0.24539525610005825,0.12826793490641794,0.047099868382406124
3,LOF,0.00967438417688187,0.3377905413903384,0.2915249915785091,0.018293580335982947,0.0539891111632094,0.017720186722188946,0.2504829478995499,0.11233412419129764,0.040750736743050964
4,CBLOF,0.0014816379271124407,0.09692553908305447,0.026925711465621824,0.03282348894441646,0.04101817781023437,0.01407392007433587,0.06974273332156666,0.010104760484960233,0.03398702791202444
5,uCBLOF,0.003066170722227854,0.34156834116826823,0.344886097554964,0.016873997568477215,0.03815006458928333,0.23969322431724452,0.2458559580936342,0.12436357363990995,0.04478058658574646
6,LOoP,0.0062786421616439535,0.34840728836045304,0.28932539866051243,0.017892537329283975,0.059263646675118714,0.020769557166880864,0.2749983647845524,0.11419223513958617,0.04072901684085119
7,LDCOF,0.0038013273893189956,0.3565538005877378,0.23009141156462581,0.020679128697596683,0.04256784984643987,0.18390959578542035,0.17091335067457875,0.047587354871804134,0.0466789444056213
8,HBOS,0.0025769823717721437,0.4528585173118782,0.14110268426153647,0.014899913523895067,0.043701270733770343,0.27555088797209265,0.19751055497729808,0.235091977065058,0.04256454986402609
9,OCSVM,0.0045974199366242705,0.4598904789716398,0.023688487183647314,0.016082856869783592,0.04570351643813222,0.6466786057427442,0.08331112652560436,0.015135814069457763,0.04772451481385043
10,Nu-OCSVM,0.004632490671853716,0.45327456524059734,0.027105603686774338,0.01582557874532948,0.04676497489429213,0.6406663563593282,0.06382204187468801,0.013876509115659245,0.04772451481385043
11,RED1,0.003518394110018769,0.4257079180686967,0.24615522225720582,0.01511335023474962,0.03593912524326689,0.08407720730398287,0.22132835239479154,0.14065326555719604,0.036741539934641895
12,RED2,0.0028536201885231006,0.45270488712435997,0.1887593099693844,0.015008558695878357,0.03487737728385348,0.04752474844811254,0.2306389703708202,0.17503522436335445,0.04928931461676273
