,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7715623384914724,0.8874688377670484,0.9036144578313253,0.48750868104435313,0.5178634936374706,0.9240207989845106,0.8067755102040816,0.8652424891765427,0.5557424530034902
1,KNN,0.864712856838841,0.9081700274543216,0.9059093516924842,0.4917506616363534,0.584822584345696,0.927078758267604,0.8442857142857143,0.8630832640923602,0.5359451350192884
2,KthNN,0.8491776365792114,0.9062450692669382,0.9018932874354562,0.48472136193854753,0.5708189184369622,0.9211236119381156,0.8297278911564627,0.8635369746796694,0.5347388402424836
3,LOF,0.9511750220411638,0.8684085960427909,0.9093516924842225,0.5075267000769563,0.6288468551589428,0.5225817982896993,0.8654965986394558,0.855238990685267,0.5414334700875636
4,CBLOF,0.45915544340741193,0.2587964277825113,0.4193918531267929,0.4815680312329898,0.5198730841885744,0.096588137964491,0.48080272108843536,0.28148095508811827,0.47925050517420853
5,uCBLOF,0.818836834584866,0.889520022720818,0.9305794606999426,0.5120408431405673,0.5471292902659639,0.8829943485119139,0.8244897959183674,0.8563104036384309,0.5226011879248056
6,LOoP,0.9607515276806615,0.8529458171605289,0.9156626506024097,0.5154053343844436,0.6311909566737371,0.5083886417854432,0.875061224489796,0.8466403550968644,0.5392829587900313
7,LDCOF,0.7805612136320798,0.8607087632932563,0.8450946643717728,0.5556525329879686,0.5281552470111199,0.9119634672481985,0.769986394557823,0.7906426291161937,0.5642495866756475
8,HBOS,0.6931565986684097,0.9119252737542997,0.8548479632816982,0.46576383805394445,0.5208704934687435,0.9318894916361492,0.8071836734693878,0.8662319062404338,0.553350070418223
9,OCSVM,0.8923479159699632,0.5309413361103222,0.3339070567986231,0.524114533475984,0.523004160372878,0.9575500145612255,0.43136054421768705,0.45698495648751475,0.546308248117078
10,Nu-OCSVM,0.8238835010488554,0.4906749976332481,0.26850258175559377,0.5227865683127804,0.53734311838929,0.958817592814118,0.5248503401360545,0.2872097345519745,0.546308248117078
11,RED1,0.7106983248715533,0.9023951528921708,0.8881239242685026,0.4531317454060852,0.5016989881730336,0.4866293807568118,0.7935102040816325,0.8580213845279223,0.5207005082358704
12,RED2,0.6833368801872739,0.9065290794913061,0.8542742398164084,0.45145184601235055,0.5028578152786407,0.6725562301534826,0.801156462585034,0.867877290418507,0.5607825607739881
