,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0035779486593759168,0.4839206633335126,0.1529608330990023,0.017087231693150698,0.04152853638633698,0.1783757297757298,0.2099634509038548,0.028933012108753334,0.05268815785157114
1,KNN,0.004463212345831472,0.5071390318479141,0.12015201399707426,0.018022007140373227,0.04949237732575209,0.15680110905993286,0.2576685940800584,0.012590640902474439,0.04109152687144467
2,KthNN,0.00399477764800083,0.4965053725853018,0.12199954566271222,0.016855371983208967,0.04772564643080495,0.18148828552919502,0.2313767816765195,0.012643587952341547,0.04158257768483932
3,LOF,0.008779428119887432,0.20544710421029844,0.2400617596120536,0.01950531899903725,0.04639029761128757,0.018207254490833446,0.21378211878877912,0.01416660315811559,0.038870530131474054
4,CBLOF,0.0010833883568579332,0.07912696632659803,0.016092414305737122,0.020954874252434585,0.035575870370512096,0.014860763824478663,0.055785935538393616,0.03767141788966023,0.058492053477902456
5,uCBLOF,0.0034101890471488865,0.4673221253682339,0.13562543786451792,0.017693792825496588,0.03825427575156387,0.2637304660512614,0.21829729761347985,0.013174267266226213,0.06008927104283915
6,LOoP,0.00946040955175463,0.2507025258677352,0.11371744279066794,0.018540995709342593,0.053291603461821435,0.021236307898991686,0.22161880674524886,0.013437927278987854,0.036327185276789936
7,LDCOF,0.0029840466795149753,0.418365858801739,0.10642543012339455,0.017154502039995606,0.0372242907391665,0.22925489840828203,0.18396553886703831,0.01279813165786431,0.07256803094192202
8,HBOS,0.002773058990980213,0.464151852234107,0.13433016987526966,0.01581622249732937,0.037000717788209625,0.03290265958314827,0.14597290130448085,0.016433882827972413,0.03761997638426266
9,OCSVM,0.005630657168313314,0.11658979689988783,0.01989438557090965,0.01866561251509362,0.03819456331675112,0.5237499296886085,0.06541422739557143,0.1811151970667407,0.052859711213491076
10,Nu-OCSVM,0.005721480762028858,0.12106041067992639,0.024081183945245624,0.01883726198636579,0.03873048389629159,0.5029378400750791,0.07186365193849525,0.18034278251666877,0.052859711213491076
11,RED1,0.002942902634362388,0.476199710241247,0.16332322446249356,0.015168478051302007,0.03479594731530258,0.02352524015402094,0.2009568106201757,0.18178458243962123,0.06126525166754464
12,RED2,0.0026972467022831183,0.5191418761449464,0.1497018390279066,0.015195946513216384,0.034348634062738415,0.02834208121069176,0.20593861798803414,0.18178458243962123,0.061549846340306844
