,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7099382847414343,0.9380226577045663,0.9598393574297188,0.43667060833004856,0.5465464034122155,0.994704503941213,0.7639319727891157,0.9573676039707876,0.5961839446451533
1,KNN,0.8538594837807436,0.9220234150651644,0.8973034997131383,0.4935337950710437,0.6359585574100658,0.8714089635490356,0.8355102040816327,0.9557495517558052,0.5572285836752189
2,KthNN,0.8213601678168607,0.917384581400486,0.8961560527825587,0.48114101769994555,0.6108653529833451,0.8599672289618318,0.8231700680272108,0.9568373638868239,0.5534119159879983
3,LOF,0.9483172711519169,0.7087317365647385,0.9007458405048766,0.4860540195581583,0.6991886759564774,0.5395863287035516,0.7941496598639457,0.9194144400227402,0.53864184679444
4,CBLOF,0.4210318304806494,0.3740730221843542,0.27194492254733216,0.5070105298721775,0.5328299474089231,0.2926591294807618,0.42892517006802716,0.49633205055319896,0.5677631498377319
5,uCBLOF,0.7362052716383425,0.8738047903057844,0.9013195639701664,0.46551044540796216,0.5463135248609117,0.9470306183208498,0.8113061224489796,0.9372676783137271,0.5453824015675709
6,LOoP,0.9520566685921017,0.7434756540124334,0.8812392426850258,0.48627925746569817,0.71559601955806,0.5151346040709772,0.803047619047619,0.9471017186338392,0.5509772824689242
7,LDCOF,0.7231933846107075,0.5158730158730158,0.8697647733792312,0.49454736565497304,0.5259519745980903,0.973192159512557,0.7226530612244898,0.883166790571566,0.5305884514114261
8,HBOS,0.7697686437843918,0.882703777335984,0.955249569707401,0.4472380201587927,0.5409074784047166,0.9975940472996506,0.7400136054421769,0.9275757642016881,0.7193999142734676
9,OCSVM,0.849968078314535,0.5902363596200575,0.5814687320711417,0.5392383204760028,0.5272169256940129,0.9754790490334938,0.45057142857142857,0.8946899462106966,0.5588696344375728
10,Nu-OCSVM,0.8758094427385765,0.5513900722648237,0.6376936316695353,0.5277699570170993,0.5294117450131768,0.9763120071891433,0.5376802721088435,0.9015721345169895,0.5588696344375728
