,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.003199979823930863,0.6648898646233027,0.44742647846363015,0.012875762355149322,0.033978298924539144,0.9542587107786105,0.16662717312715666,0.6661563187957561,0.06277477842179918
1,KNN,0.051628667749376626,0.7761029281432875,0.45109302462243633,0.017764553775313597,0.08640609268000629,0.16615617859485043,0.34378005684897534,0.6054961888827171,0.04442173191298732
2,KthNN,0.035076819555267924,0.8185065730663947,0.4387809278158966,0.0161166137546057,0.0696865535624558,0.16835627577380655,0.276307841016922,0.5361307129539186,0.04215487378611205
3,LOF,0.12962482651199236,0.292265338240135,0.6751006593860114,0.02006586557697922,0.09420829238971193,0.0217641471688592,0.4447439899637429,0.6154560465584401,0.05124480586149252
4,CBLOF,0.005106739605132813,0.06099070466212361,0.01471964539464817,0.018030896319113577,0.03958995778956832,0.01926161118965458,0.10816337110517457,0.027138767108744886,0.060294609942963734
5,uCBLOF,0.01220178711712406,0.7711004200407059,0.46302978629561214,0.015143476323471738,0.042422957097495904,0.8145877021484553,0.2938457331346637,0.5873607915801271,0.042469236710032075
6,LOoP,0.09061042955306017,0.2886514968518975,0.8030368768060583,0.02193062873765049,0.10991851237575456,0.028309893552193433,0.440161250055102,0.27393468309605773,0.06288797767918225
7,LDCOF,0.02078779173244169,0.6161289106999142,0.31576389780890757,0.01489180962413703,0.04294610535880121,0.33595377565403106,0.16964106297721687,0.3983917962597146,0.04279713471505506
8,HBOS,0.004254214159083896,0.3996895585212989,0.40833758022167554,0.01614970434300384,0.034704205323042206,0.9346420233042194,0.10444397971293029,0.5702069649163926,0.14986524850304603
9,OCSVM,0.004220950895631341,0.7396799447230632,0.4420693265087071,0.02056491995301256,0.04244807544605964,0.8967749257333548,0.24051781109605486,0.6145091628341423,0.038816526242794386
10,Nu-OCSVM,0.004848219895782244,0.7235243922620137,0.43571853260262794,0.01613628106195355,0.04218631291735833,0.8991495212912151,0.2759761769425602,0.6040850668164601,0.038816526242794386
