,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7566959535463472,0.8896146927956073,0.8886976477337922,0.5154381815792932,0.5225122907426849,0.907592551684707,0.7826530612244899,0.5991166309529015,0.5830255342599964
1,KNN,0.8753838202657099,0.912998201268579,0.900172117039587,0.5243444638399309,0.570177487631143,0.8797665210034532,0.8448299319727891,0.392465124415096,0.5234045679995102
2,KthNN,0.8494208494208494,0.9088011612862508,0.8973034997131382,0.5115856748690805,0.5615770783786486,0.8807872845722096,0.830108843537415,0.3689295709975073,0.5209399301941093
3,LOF,0.9025020521083513,0.7411089021426993,0.8984509466437177,0.5333727499671528,0.6071674452440383,0.5157794001080818,0.8320816326530612,0.5031650413259282,0.4881378972506276
4,CBLOF,0.47897729000091205,0.37830161885827895,0.2289156626506024,0.4756649210728832,0.5334051483637935,0.23712605486078678,0.4872108843537415,0.36182052739755977,0.5238981078929643
5,uCBLOF,0.8355881190526859,0.834422039193411,0.8341939185312679,0.5172213150139835,0.5360247426242153,0.8946214170531187,0.8325442176870749,0.4132483491494293,0.5339256628497948
6,LOoP,0.9297114887666068,0.7484931679762693,0.8651749856569133,0.5271364754021436,0.6007095047145389,0.4999966622562588,0.823265306122449,0.44080716753400095,0.5002204396546446
7,LDCOF,0.846988721004469,0.7909369181734988,0.7923121055651177,0.5257146611107982,0.5311286437019261,0.9233016043846232,0.7394013605442177,0.41702016005597586,0.5868556732594452
8,HBOS,0.7098166783206152,0.87935876802676,0.7670682730923695,0.49252022448711447,0.5211038602350394,0.7146849768663783,0.7018231292517005,0.3915495036515502,0.4674361643500092
9,OCSVM,0.7465418174079591,0.8772129129982014,0.8921399885255307,0.525517577941701,0.5084809639673902,0.929021427040871,0.819891156462585,0.6103336686054138,0.5790337395138081
10,Nu-OCSVM,0.7332259143282766,0.8689135031083339,0.9013195639701663,0.5265874580025152,0.5095471976124669,0.9330014444022343,0.8144489795918367,0.6063814667424673,0.5790337395138081
11,RED1,0.7272367981029398,0.904288554387958,0.8537005163511187,0.45492426375358974,0.49281141086209734,0.5632625502349542,0.7726938775510204,0.6804237547557616,0.5512730390055722
12,RED2,0.7211260754567841,0.9080438006879359,0.8399311531841652,0.4545207125025808,0.49264000555281784,0.5658236952797934,0.7788979591836735,0.6804237547557616,0.5471765354234279
