,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.003199979823930863,0.6648898646233027,0.44742647846363015,0.012875762355149322,0.033978298924539144,0.9542587107786105,0.16662717312715666,0.6661563187957561,0.06277477842179918
1,KNN,0.01326225951758151,0.5604420639847393,0.16357804136253254,0.016531133014194684,0.0666249531114999,0.17413708378612922,0.30882236706321187,0.6011583304118044,0.04144889383220776
2,KthNN,0.009851703300761452,0.5482051625208757,0.16393933065175154,0.01578012482560753,0.05638241086820213,0.23222138143439958,0.26221402838687935,0.5903636415979479,0.04134173751106868
3,LOF,0.03470637531180285,0.30391334194942865,0.20565526495228503,0.01439990066387383,0.07232020830169823,0.022074900382629103,0.25609074231651735,0.5240880548930611,0.03938683862206076
4,CBLOF,0.0016475535092962362,0.1074273058309646,0.0222490772195645,0.015200855765094407,0.03878061656523964,0.01693841408348895,0.07402214341956483,0.031078487773591415,0.039652966943666525
5,uCBLOF,0.004800301653633389,0.4237885459303393,0.10492088777094961,0.016428751404687615,0.03864684479966395,0.22430921379284122,0.23609175001260102,0.5356010463369012,0.04102780070032372
6,LOoP,0.0482982102536793,0.26278420020408116,0.3161777830990029,0.014342078784933267,0.08849584105418283,0.02639446039865757,0.229691100161396,0.39239166246320095,0.04222332441459815
7,LDCOF,0.0053521202362744,0.3490490087782899,0.12160262696509895,0.016186280449480624,0.04016121583660363,0.20305337371353896,0.14130088188439463,0.11918725505111197,0.04239911083522392
8,HBOS,0.003876477483717061,0.3727786346584712,0.4138527511318007,0.01615600519016247,0.03440183449657757,0.9373515631463506,0.1011793914167267,0.570466814282281,0.15470279104151102
9,OCSVM,0.01608108313697709,0.11779007871749994,0.04409296660528636,0.017466563263161546,0.03952448625758338,0.6312742602237517,0.07044941632252848,0.5747976280407291,0.044727799455206836
10,Nu-OCSVM,0.0017467898738157924,0.1177023587231236,0.017707385233811483,0.013814947221002577,0.04124770884375964,0.6808870801915239,0.06949432901467228,0.5944978492119771,0.044727799455206836
