,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0035507638690074205,0.46352196965844555,0.12599373763044025,0.016356116928095,0.038356864080006645,0.36587520865691864,0.17846942043104244,0.019689495300255225,0.0507838281410625
1,KNN,0.011404410905589675,0.514850656833751,0.13036170286103452,0.01749015345543071,0.04869528649253993,0.18966653003041375,0.30469275410880275,0.011608613099958427,0.03978309280894726
2,KthNN,0.009446802629232351,0.5093782932245587,0.14122387347272525,0.016418755565756785,0.04615323125150412,0.24858341165119538,0.25977671539000713,0.010945484849040574,0.04029733251023278
3,LOF,0.031154187707511227,0.2640853721936507,0.15246344258443167,0.017538785746278616,0.047224321511375865,0.018782037341541602,0.2591758344247195,0.013163954126796627,0.037133488599193416
4,CBLOF,0.0013441923355416298,0.08586488958257733,0.019127561672321037,0.026261660947590984,0.03742063743410051,0.18931276399383273,0.12861228921206905,0.01849801951857291,0.06689856245714043
5,uCBLOF,0.005054727450243043,0.4638248804002205,0.17214109299291197,0.01767797287372843,0.038251765100648705,0.17229496877707187,0.20787603795208448,0.01762382905417876,0.05930739744700814
6,LOoP,0.045091394874298085,0.24749431163534236,0.1890293688346013,0.016894648667916706,0.048846111593946404,0.023341163208415637,0.22428116679482968,0.011979789335410398,0.03774037674628898
7,LDCOF,0.0042378230118578775,0.3943972351209006,0.1315329631616407,0.017196323549019638,0.038912612007238445,0.39652506367777063,0.14061607652090508,0.013240067375975306,0.06073454562428643
8,HBOS,0.004208056986666665,0.4351294248163793,0.08556436703891078,0.017096226158965656,0.03859428753490729,0.0633939789798442,0.12824427344363648,0.011619861916058873,0.035103627107413195
9,OCSVM,0.012309539546336741,0.11776237264292742,0.03167986428343782,0.01691237041253176,0.03706834741944806,0.4934029919297459,0.06170372218622402,0.18601361701537816,0.056170148622191295
10,Nu-OCSVM,0.012841900613816406,0.12725905816409622,0.018458383396379858,0.015176790630867638,0.03824594776565061,0.5738103237327666,0.0842638046759649,0.18559068933260806,0.056170148622191295
11,RED1,0.0027392533882873984,0.4692475577480307,0.1675228132632987,0.016160842276277475,0.034029556074076886,0.019811953446362277,0.17734826951156377,0.18859714277258205,0.05822423433235011
12,RED2,0.0026745124927322166,0.49095165247709055,0.1482106209041471,0.016125451590144883,0.033986054694710485,0.019913334196926036,0.18443516283145242,0.18859714277258205,0.057607586448950074
