,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0022938855169467136,0.557261736768429,0.4688593619265888,0.012458577297767202,0.034275626938709655,0.9199351535812533,0.1771269515164843,0.6696331852248546,0.055896338156248844
1,KNN,0.04379706016638293,0.7409001765378348,0.46705796353629164,0.017345391124199496,0.09105901878152037,0.2686173902392216,0.3362432009559952,0.5608160414051129,0.049584564740797706
2,KthNN,0.037788158846808896,0.7737071504067848,0.46786010257372485,0.016005922862303467,0.07256231417999762,0.2990837672551632,0.282131795019556,0.47217036526968337,0.046507400690112305
3,LOF,0.05706713625717096,0.4082931799127498,0.6235516382419463,0.01909062239427723,0.10751484934471099,0.022641120097221322,0.4355970594772631,0.5678633363901597,0.06486189848747287
4,CBLOF,0.0019400282563508254,0.12386043641720136,0.017093596776804686,0.012416125487850389,0.039385422657540664,0.12553640147235595,0.143596073101194,0.017480985963944526,0.05463791785668237
5,uCBLOF,0.014811998954983415,0.766246153312335,0.3560334558924784,0.015830570869096262,0.04310193629621162,0.9152290882430277,0.27081181943744365,0.5998373363246443,0.042240483385411046
6,LOoP,0.04344159195386321,0.40856654260807324,0.6332815707540234,0.021187225143482216,0.1299300981648326,0.035621384079423335,0.47988088787622923,0.25326088749115694,0.07400596072663526
7,LDCOF,0.018612872882726793,0.6955224734356462,0.22286086309523812,0.013538648853706658,0.046203039169582294,0.9147654876770954,0.26901445825108666,0.3634003739347404,0.04224059680819097
8,HBOS,0.003362065601858819,0.46794874616209725,0.35892587129318665,0.01626654034120918,0.035875088395960424,0.9285597297000776,0.16615523378620525,0.5812678395997396,0.13047239763783808
9,OCSVM,0.003256005417368368,0.630851546712161,0.4676219770204732,0.018526698257868485,0.04295184835085998,0.9115102634503137,0.1812736756548127,0.6127171509658219,0.036042724900436585
10,Nu-OCSVM,0.0036588415819311087,0.6126026324498924,0.4923370133282514,0.021125565439503342,0.04252318474122488,0.9111277376578578,0.19064096380369097,0.5974004569191315,0.036042724900436585
