,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.6690785273462438,0.9284925368424375,0.9667240390131956,0.4085721793644537,0.5477773747446775,0.9964940186867788,0.7381904761904762,0.9573402720076967,0.5844479823648276
1,KNN,0.8760526555802145,0.9010066584619267,0.9150889271371199,0.4749516676990071,0.6429523627150601,0.942807124019092,0.8364489795918367,0.9578978440547513,0.5628718388341191
2,KthNN,0.8547715319368863,0.8967780617880021,0.9150889271371199,0.4644217955215196,0.6169663804555097,0.933975606953412,0.8217142857142856,0.9574851314120785,0.556455207886841
3,LOF,0.9209862280728423,0.839786676764808,0.9156626506024097,0.4699307393434315,0.705716291739871,0.5350223335822628,0.8339319727891157,0.9527976997419862,0.5751644112424223
4,CBLOF,0.4144042805460128,0.40805957903373413,0.2925989672977624,0.4938341122810969,0.5397364319753033,0.08852613644441625,0.4130068027210884,0.41360366466961124,0.5007029575653665
5,uCBLOF,0.7850606512023836,0.8700495440058064,0.9231210556511761,0.465970306135856,0.5468364728626116,0.5697263075611106,0.8270748299319728,0.9168561682774303,0.5517322882860817
6,LOoP,0.910588879092816,0.8472340559815709,0.9139414802065405,0.4866734238038929,0.721611762845578,0.5059681660779753,0.8438095238095238,0.9355430314426904,0.5867558630824812
7,LDCOF,0.4965950202170675,0.5278330019880716,0.6342512908777969,0.4747264297914672,0.5004734848484849,0.9632350074793486,0.520047619047619,0.9048137053395723,0.4998928418345478
8,HBOS,0.7819900890767032,0.8858910031872258,0.9529546758462422,0.4499971845261557,0.5427262047918496,0.9976795546889312,0.7619863945578231,0.9300028425241614,0.7253719919172126
9,OCSVM,0.8397835405709421,0.9047934614535011,0.38181296615031557,0.4852281472305123,0.5245919750176762,0.9783873449063865,0.43221768707482994,0.9029387326715353,0.551067295327904
10,Nu-OCSVM,0.8507281184446539,0.5981886459023635,0.310671256454389,0.5446064906057022,0.5323228175729723,0.980150896591858,0.561469387755102,0.9031464555910264,0.551067295327904
