,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9585018088955097,0.6077503234560888,0.6328169822145726,0.5091690598194343,0.5989678186531828,0.7445832623107328,0.8240680272108845,0.458958324222679,0.8091562059886106
1,KNN,0.9635180737542942,0.6229606488055792,0.70223752151463,0.5534001539125702,0.6466292074647012,0.8894196326086863,0.8383129251700681,0.48453010889054093,0.7796693405180333
2,KthNN,0.9669838567476363,0.6180062482249361,0.7045324153757888,0.5525273570208532,0.6287958715647519,0.8702069426598555,0.8353265306122448,0.48424312327808633,0.7812736513379462
3,LOF,0.7371477213996899,0.5957272239578403,0.6563396442914515,0.5589560222985528,0.6744758189067199,0.8335421079304026,0.7114557823129253,0.46715244675733586,0.6139991427346764
4,CBLOF,0.6390113397987414,0.407775568809366,0.2989099254159495,0.4690673273645288,0.45328951450338884,0.45023864867750185,0.428312925170068,0.469273407093191,0.5329679750168392
5,uCBLOF,0.9704192381357737,0.6092019312695256,0.6374067699368904,0.5550425136550481,0.6046846209264457,0.8159900346692207,0.7838503401360544,0.48092775615515804,0.7588745330965647
6,LOoP,0.7576992065181042,0.5663321657357443,0.6052782558806655,0.5645775850742347,0.6917959571558145,0.8388271830946082,0.6814285714285714,0.4675350942406087,0.5863553977098769
7,LDCOF,0.8621591220016417,0.5486446400959324,0.5524956970740103,0.5407774461775251,0.5765391382151708,0.7990403094980212,0.7472789115646259,0.4345126164341627,0.7067172861429184
8,HBOS,0.8371386009181285,0.7168102496134304,0.612736660929432,0.5451602004617377,0.5708351132257051,0.7567043678835672,0.7894557823129251,0.5079809332225478,0.7479529728736759
9,OCSVM,0.7610737846958319,0.5502540313673514,0.49569707401032703,0.5462160031533307,0.6325431448142753,0.8556591954712678,0.4835170068027211,0.48686972493112346,0.6031363664196926
10,Nu-OCSVM,0.3155078588149454,0.5412603742623623,0.5490533562822719,0.5,0.6463332654853984,0.8633695363873943,0.5822993197278912,0.3438032973280273,0.6031363664196926
11,RED1,0.9470708053385218,0.6837703935119441,0.6861732644865175,0.5448786530773129,0.6029187612484734,0.8039573410870905,0.8409659863945579,0.5435452835964492,0.7131149347866022
12,RED2,0.9496245401757213,0.693363627757266,0.6442914515203672,0.5444469470878616,0.5880717527621251,0.8070658251475805,0.8411972789115647,0.5451032054926312,0.7349053946482151
