,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9491381144924452,0.8478967465050964,0.9334480780263912,0.5462394654353662,0.588928179501532,0.9758584562247264,0.7914557823129251,0.9283957230944155,0.5559481966811586
1,KNN,0.9678047000881647,0.7102149010697718,0.8261617900172117,0.5322465604294536,0.6417628757079396,0.9650160122523223,0.8126938775510203,0.5148412559583679,0.6833837486987937
2,KthNN,0.9663150214331316,0.703256650572754,0.8267355134825014,0.5308294385945154,0.6331865005820638,0.9637443318868928,0.8022789115646257,0.5164374426028775,0.6630353315779804
3,LOF,0.938375946249962,0.6600397614314115,0.8238668961560528,0.5380276667229761,0.6386588605832065,0.613212828044793,0.8052244897959184,0.581099400883369,0.757774784152838
4,CBLOF,0.09172164290274525,0.6347628514626527,0.8559954102122777,0.5081273344970625,0.5212943198780166,0.5899958902437751,0.3837278911564626,0.61200091835396,0.5276945686118425
5,uCBLOF,0.9610859453379138,0.663069203824671,0.8290304073436604,0.5286145991703737,0.6178820764949757,0.8883663324081924,0.7961496598639455,0.5638857305287095,0.5743640928295879
6,LOoP,0.9364302435168577,0.6810722963804475,0.8209982788296041,0.5433301424629764,0.6642575907109035,0.6084117002441141,0.7945850340136055,0.5938032973280273,0.7210005510991366
7,LDCOF,0.4994679719089168,0.5260658272586702,0.5522088353413654,0.4980291683090264,0.5009027792656711,0.6648154673592866,0.5168163265306123,0.5568231512660166,0.5168219949788746
8,HBOS,0.9218982762289848,0.7155795386411689,0.9271371199082042,0.5010792649736284,0.5465162177766946,0.9975539434168355,0.8034965986394559,0.941017623649801,0.7587055293613374
9,OCSVM,0.9675614872465267,0.6757865505380416,0.821285140562249,0.5454792874974191,0.6207975290407016,0.8965863544373011,0.5334421768707482,0.4739417063891197,0.603541730451289
10,Nu-OCSVM,0.9675918888517314,0.6726939947615891,0.8224325874928284,0.5005912495072921,0.6190918732457737,0.9076593065595326,0.5296190476190477,0.48541293129837754,0.603541730451289
