,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.020666471198617406,0.15448644906766273,0.17273455439403723,0.016553266772775636,0.05252662453013625,0.09037414212415312,0.18397629708409333,0.058937298411830215,0.07988893505482345
1,KNN,0.024297785731542287,0.1660787306301192,0.07432721837829978,0.017551472283463758,0.08946841611549719,0.17183729683685553,0.1829433079470845,0.06050690715886012,0.06915839603025659
2,KthNN,0.023675747777890305,0.16551403554059307,0.0762290815638848,0.017360070808034294,0.08571943106489216,0.15011044762508427,0.17706457171961898,0.04574401652945914,0.06554777949173202
3,LOF,0.02849622429463511,0.19658113799203364,0.0464917890925953,0.018207099631487953,0.0674464232169218,0.10724181598281397,0.1583906572509542,0.06380285463962845,0.08755116533430676
4,CBLOF,0.0009196890782643965,0.12040068985997715,0.021400017853732148,0.012644885410640513,0.02538614139193151,0.016265323203824105,0.060205212150226346,0.018118961372909262,0.052573544147545816
5,uCBLOF,0.029900787774233186,0.15456414293948395,0.07651071637150011,0.01763704009875569,0.07890576230123408,0.1412355909810877,0.17406545427009332,0.04712829475955324,0.053637161774793905
6,LOoP,0.032223182837689816,0.1620506611385933,0.038187254458301574,0.018307192317314987,0.07390797351901132,0.1260227040958813,0.1548819724015243,0.059672219696506025,0.07951107300105259
7,LDCOF,0.0068922031635312506,0.2544100365423771,0.08040944411237298,0.015184467492790314,0.07334887012781682,0.0834662708336961,0.15497954863763685,0.03872115493772191,0.042018020627304545
8,HBOS,0.018716911863790868,0.16785431449452673,0.1741098326925068,0.017374134403152774,0.06850387530015002,0.1642911620012023,0.2200303674677393,0.06599959362030292,0.09789334941226183
9,OCSVM,0.017716873511315935,0.1310615168730998,0.17066060381220896,0.014868461958050829,0.08247700530822177,0.10024011035550384,0.15888982351138775,0.0434554506873763,0.03221320370727876
10,Nu-OCSVM,0.01777611548256466,0.1290438005446477,0.17518451431421764,0.01534800873962813,0.0819491470418692,0.09764508592336202,0.15192079618372806,0.04350211520165941,0.03221320370727876
11,RED1,0.018642145768401112,0.16626223827289902,0.1803121185617563,0.01759230895747651,0.07838600134689644,0.12578427803754952,0.2115199827002366,0.06189419877516038,0.04279325173580722
12,RED2,0.021289074132686162,0.18749185207373303,0.17616437995500644,0.017561975893364477,0.0477034853875918,0.10793325928316494,0.21511380570421282,0.06622462691881686,0.07028294611091843
