,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.002727972646671754,0.35377449145612194,0.2057512811252507,0.014725887068419069,0.033328878888013835,0.04822929088161787,0.24416613691945563,0.1782926538497737,0.035927222905768094
1,KNN,0.007175994114168111,0.3920758453751905,0.20934975813067602,0.01442698351845818,0.03999512739174172,0.632245385190298,0.24995690549677052,0.18305639221266504,0.04088526695442141
2,KthNN,0.005043587461510994,0.38220931724978535,0.21277591497938667,0.014510484621551844,0.03856949455684858,0.5296181984148232,0.22830417531826622,0.18358907816407527,0.039708628778498574
3,LOF,0.009447786609900121,0.28616504316818725,0.20273650913142743,0.015624478715182855,0.032729812372798074,0.10806444041381844,0.1839357767642915,0.15127895435553346,0.040464457901278894
4,CBLOF,0.0013718506631310518,0.08358648158425783,0.015460331316033289,0.014651119204754832,0.03444020526013927,0.19926334391809544,0.051687236244796715,0.025561790720678008,0.04502149692451085
5,uCBLOF,0.0036560151215926963,0.31272365702758953,0.17769276902091694,0.01533240206023713,0.03719615675925433,0.06187678399074629,0.19635661598574256,0.16480524988905182,0.039245062843852194
6,LOoP,0.01905683825866835,0.3132640503163695,0.05090769642701186,0.01620256240918848,0.03347009452715757,0.05736583738802836,0.17194883624295468,0.12563409641547776,0.04334813168980762
7,LDCOF,0.0038626235884632477,0.3096985695503544,0.04837812536099864,0.016302068789705387,0.036596588736155615,0.09070101167074457,0.09117642292734197,0.06739609105435249,0.03870163592980542
8,HBOS,0.003217045125070468,0.3170319463193416,0.06781552307531244,0.014107431370283542,0.03099266304883337,0.11504753352592963,0.11420647618117502,0.019491793766580993,0.04385556814232161
9,OCSVM,0.00950186663627407,0.11415474969724647,0.024068818550529638,0.013263400513303505,0.038847908328835674,0.12721666535323034,0.06474089016280914,0.012872940867696761,0.038687710634037045
10,Nu-OCSVM,0.0014519002113146716,0.12885884951451346,0.027731664258378086,0.47259441617007647,0.039178296506075266,0.17644584837615135,0.06109988036228654,0.01387793290331141,0.038687710634037045
11,RED1,0.0030316260766489155,0.34169896164860636,0.10291168785428344,0.014759808530440777,0.0346180993670588,0.023585849936414348,0.1917169465175155,0.14842505478519527,0.037616912363068314
12,RED2,0.003035015625839412,0.3409909589523535,0.10263833067868136,0.014745545527933902,0.03461949860349493,0.02344535842527108,0.19393217528128173,0.15317427873582878,0.03935686799614873
