,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0028360953151650497,0.4318635580271166,0.4022498283637064,0.01520162942120688,0.031890262872647755,0.32326300925416007,0.17982350209244702,0.5763635860630534,0.04792318554265548
1,KNN,0.03383140041690784,0.6978303816468172,0.4743524821952241,0.016653766562698,0.05088287428515327,0.4875606710938488,0.340390086408863,0.3355035124084643,0.04619833915317563
2,KthNN,0.031972741182005264,0.7340881276796888,0.5022745601173021,0.01570783162201863,0.047020279243832286,0.4860629072277144,0.2926990912932018,0.26835913408207307,0.04357306763489936
3,LOF,0.054458684489029366,0.400382327560518,0.48199259890436363,0.018712779972596367,0.07194930985421044,0.01954115923267126,0.45804066059646714,0.28979220877030964,0.06268995327461784
4,CBLOF,0.0037352649790809503,0.14187299116033153,0.025141889501902593,0.01467452137092071,0.03249793557548509,0.044552113219707035,0.12402181896175585,0.010284271657727209,0.054501993759414766
5,uCBLOF,0.015060277555044528,0.710212382341677,0.5219704812096116,0.016016241240489087,0.03947333552486468,0.7716602847305039,0.25590873300856115,0.47066615145615787,0.0403827973493031
6,LOoP,0.04392692128699384,0.3865204952265455,0.5960440599144918,0.02066880227019926,0.08233484426093765,0.02513066289334965,0.5061472088683785,0.11561780313443991,0.07333250591174803
7,LDCOF,0.016374075709085903,0.5620557331688072,0.16819196428571426,0.014818049009545782,0.03846979499607748,0.06229820474991098,0.21365251214881623,0.22034960551234617,0.04399882499768995
8,HBOS,0.003951182362111649,0.34946082457563277,0.21062184802318357,0.0150238315989735,0.032683143591552735,0.5683767114937283,0.18054506180712393,0.6037114887888562,0.07597424698733936
9,OCSVM,0.0032238801088952653,0.5888025699477275,0.49222766257040446,0.015330082216379297,0.03536721714529127,0.4539775213526016,0.19992069648666416,0.49442900031678944,0.03452440924092806
10,Nu-OCSVM,0.003639726155637329,0.5934800989281972,0.4931925243215566,0.020964178982194027,0.035502470875361514,0.5345177275300237,0.21352016991935563,0.4696756406276997,0.03452440924092806
