,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7523485240020673,0.8375461516614597,0.8548479632816981,0.4827411453347598,0.5046992227394139,0.7078570487669839,0.7737959183673468,0.7975740149560502,0.4482150511297532
1,KNN,0.8034232207460554,0.8453090977941873,0.8875502008032128,0.49678566736115015,0.504309348195602,0.9569400482622457,0.8253061224489796,0.7404884768443608,0.4317531075867981
2,KthNN,0.7873407715927402,0.8434156962984001,0.8892713711990821,0.4974097640632918,0.503617505704583,0.9455642277441922,0.816734693877551,0.7391874754012333,0.4292333598677362
3,LOF,0.7772778402699662,0.7997096784373127,0.8823866896156053,0.5111305065975937,0.524014932794835,0.6861315473601631,0.8165170068027211,0.7476986487077448,0.507818259751393
4,CBLOF,0.23372754081415498,0.33339644671652624,0.3482501434308663,0.485275071794583,0.5109559628961069,0.621334348415094,0.35115646258503397,0.36837473214676175,0.5199350927683546
5,uCBLOF,0.7728696075152768,0.8407018208211051,0.8755020080321285,0.5061283480676464,0.5082253903934466,0.7370934163132099,0.8172380952380952,0.7464632439760355,0.4494740064907231
6,LOoP,0.8103851883379443,0.7931143298936539,0.8869764773379231,0.514954858569364,0.5327224285186296,0.6564148249837508,0.8223265306122449,0.7457553461319807,0.509178862286449
7,LDCOF,0.6659319612075518,0.5392565243459876,0.7039586919104992,0.5156540345740188,0.5042395752987094,0.8450634133092405,0.5328163265306123,0.6903999212839463,0.47413691751882925
8,HBOS,0.7501140060195177,0.8359683170816372,0.8479632816982214,0.4661673893049534,0.5048121398926217,0.6553608368513407,0.7931292517006803,0.7713735951370971,0.42884514114261213
9,OCSVM,0.7418903718116316,0.8000568020448736,0.874354561101549,0.49607710644368114,0.5159681453945536,0.5217432602418413,0.7871836734693879,0.7354921939913412,0.4384238564692915
10,Nu-OCSVM,0.7418903718116318,0.7850358168449619,0.878944348823867,0.4952887737672917,0.515455770734686,0.5389372776801509,0.7814421768707484,0.7368970568942145,0.4384238564692915
11,RED1,0.7689782020490682,0.8434472529899966,0.8732071141709696,0.4878934624697336,0.49341713222848327,0.5650314525019957,0.7980136054421768,0.7434184632877071,0.3833923213520299
12,RED2,0.7353844282978141,0.8419009751017703,0.8812392426850257,0.4905212380576984,0.49354981511437734,0.5553395109619403,0.8017142857142858,0.7953382603752133,0.44579266425815933
