,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7523485240020673,0.8375461516614597,0.8548479632816981,0.4827411453347598,0.5047013708853798,0.7078570487669839,0.7737959183673468,0.7975740149560502,0.4482150511297532
1,KNN,0.8063113732405071,0.843762819905961,0.8864027538726333,0.49735814704281395,0.5066312708007485,0.9652543424428259,0.8214965986394558,0.7822517164472821,0.45677790704794563
2,KthNN,0.7918098075578391,0.8440152734387327,0.8846815834767642,0.5020177562550444,0.5062566983096937,0.9552229701995537,0.8133741496598639,0.7827108934272096,0.44634804972138875
3,LOF,0.8598486000060803,0.8195272807598851,0.8909925415949512,0.5076580888563546,0.5251764102104001,0.6532052913684673,0.8174557823129251,0.7949774784624131,0.5396283142489744
4,CBLOF,0.4420089380719302,0.3804474738868377,0.3373493975903614,0.5109334234284963,0.5274172612288331,0.778989692996369,0.36749659863945583,0.4234267722044868,0.5482738350376585
5,uCBLOF,0.759948925303256,0.8406702641295086,0.8755020080321285,0.47825515700959137,0.5096514803348117,0.7623480594077618,0.8188571428571428,0.7823719770848823,0.43116526850774595
6,LOoP,0.8831666311981273,0.8203793114329894,0.8927137119908204,0.5141336786981249,0.5347796270059777,0.6347951122182567,0.8225714285714286,0.7944035072375039,0.5320923397220012
7,LDCOF,0.6615389292554646,0.7867398781911704,0.6342512908777969,0.527403945417347,0.5189613217670459,0.8574433851142235,0.7660680272108844,0.7452278392443258,0.4562427285530586
8,HBOS,0.7513908734381176,0.8351478431001294,0.8313253012048193,0.4602455093192184,0.5046895560825673,0.6401452606459374,0.7874285714285714,0.754438710805965,0.4339219888555508
9,OCSVM,0.8006262730672179,0.8442677269715042,0.7383820998278829,0.46583422490005066,0.5088830299370086,0.7366079147331321,0.8406122448979592,0.45247518257751346,0.4081856591758007
10,Nu-OCSVM,0.8029063934575745,0.8355265233992868,0.6115892139988526,0.4643326388497851,0.5176021172796191,0.8029325518426766,0.5751020408163265,0.47659837320155685,0.4081856591758007
11,RED1,0.7689782020490682,0.8434472529899966,0.8732071141709696,0.4878934624697336,0.49341713222848327,0.5650314525019957,0.7980136054421768,0.7434184632877071,0.3833923213520299
12,RED2,0.7353844282978141,0.8419009751017703,0.8812392426850257,0.4905212380576984,0.49354981511437734,0.5553395109619403,0.8017142857142858,0.7953382603752133,0.44579266425815933
