,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9653117684613748,0.5832938874688377,0.6379804934021801,0.49403119545019425,0.608323147773695,0.8178754522196887,0.8084625850340136,0.4610847509511523,0.797667625987386
1,KNN,0.9710576718450733,0.610337972166998,0.7246127366609294,0.4885785611051674,0.6540047689956362,0.8930246506388722,0.8223945578231293,0.46910394892202734,0.8374833139428082
2,KthNN,0.9707840573982307,0.6064880557922308,0.7303499713138267,0.5021397601216285,0.6396829821979517,0.8627925143835098,0.8177006802721087,0.4668900599116631,0.8383117996448471
3,LOF,0.9474660262061837,0.5969894916216985,0.7102696500286861,0.495776789233628,0.6900963552267907,0.8681417455686357,0.7620136054421768,0.45819849564875154,0.6578788806564203
4,CBLOF,0.2340619584714073,0.402063807630408,0.7624784853700516,0.5158605026559303,0.421742121828109,0.5483276502513372,0.35748299319727894,0.40487930205099054,0.33214744963566223
5,uCBLOF,0.9677742984829598,0.5850610621982391,0.7280550774526677,0.5003941663381948,0.618727385881559,0.8170695781983675,0.8038095238095238,0.468289456421918,0.8223427836629723
6,LOoP,0.9462803636031982,0.5872700306099908,0.6351118760757315,0.5068791410927792,0.7120361511205622,0.8733887806457744,0.7480816326530613,0.46564645559102635,0.6087771722490969
7,LDCOF,0.9068190800474265,0.558237874341254,0.7426850258175559,0.48061077012594555,0.5919248570729686,0.790736359775143,0.5870068027210884,0.4810890147373945,0.8013067172861429
8,HBOS,0.945702733104308,0.6682760579380858,0.6431440045897877,0.48549092478930866,0.6218425462571151,0.793785324985407,0.8379183673469388,0.5211276074692788,0.8512889596472966
9,OCSVM,0.9729273705651658,0.533024077755688,0.7248995983935742,0.4300542447960658,0.6275153673340761,0.8256616185203501,0.5354149659863945,0.41737547557615773,0.8074067723960566
10,Nu-OCSVM,0.40206122883288237,0.4517655968948216,0.6181870338496844,0.46386808566548415,0.6292409423006878,0.8233161783496615,0.543156462585034,0.3316023090042419,0.8074067723960566
11,RED1,0.9529079135378348,0.656032061598662,0.7005163511187608,0.4804512266081048,0.622158449255101,0.7807450914146863,0.841469387755102,0.5133161324178948,0.6430469658930869
12,RED2,0.9675006840361171,0.6868313925968001,0.6534710269650028,0.49051185314488427,0.599544805080025,0.8009382372177791,0.8432380952380952,0.5399811956093934,0.8047663951993143
