,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.8513361505487489,0.547161475590899,0.4710269650028686,0.49972783752838934,0.6200524432175276,0.5986559339096164,0.8181632653061225,0.45758625967551503,0.6258967607617414
1,KNN,0.8641352263399508,0.5462147748430055,0.4417670682730924,0.5275071794583028,0.6323335750416015,0.7312766716936654,0.8408163265306123,0.47371211789915596,0.7967276957932766
2,KthNN,0.8658985194418265,0.5464356716841806,0.4400458978772232,0.5278638061452409,0.6279844582476307,0.725303893923956,0.8323537414965987,0.4766557703240477,0.7872592002939195
3,LOF,0.8238530994436507,0.5625926977815645,0.4113597246127366,0.5199710944685324,0.6059487211333819,0.729980021947576,0.7446938775510205,0.4900948965758517,0.6656126385401996
4,CBLOF,0.3225610312224485,0.5279750071002556,0.4853700516351118,0.4408093548810932,0.4414493245113163,0.4914116031692769,0.36383673469387756,0.46499868806577166,0.7486681770865226
5,uCBLOF,0.8569300459064239,0.5315724699422513,0.450946643717728,0.5277981117555418,0.6183289745498826,0.5100906363038998,0.8146802721088435,0.457706520313115,0.7692290735411181
6,LOoP,0.8110844252576537,0.5189813499952665,0.4205393000573724,0.5158698875687445,0.617897364598733,0.7443951256711477,0.7457414965986395,0.49397603533476186,0.6370748882493418
7,LDCOF,0.7923266348463198,0.5273123165767301,0.6193344807802639,0.5030688664902303,0.6002503733868261,0.5941554068773317,0.7270204081632653,0.4976603839594175,0.7162733451717593
8,HBOS,0.8003526586203752,0.6113477862980844,0.5129087779690189,0.5105767967415582,0.6179192087323864,0.509275742730789,0.8274013605442176,0.5290347443914811,0.8358673688077889
9,OCSVM,0.8634055878150366,0.5045441635898892,0.4007458405048766,0.5454792874974191,0.6232107478493989,0.5095061999226969,0.509469387755102,0.4684479818078454,0.7030457412283387
10,Nu-OCSVM,0.8654424953637554,0.5026034270567074,0.41508892713711987,0.5005912495072921,0.6175774721868104,0.4972244240290032,0.5613469387755102,0.4549405256483142,0.7030457412283387
11,RED1,0.8741677560575198,0.5730379626999905,0.47274813539873783,0.5117780655817707,0.6287275633128362,0.5338959597248986,0.852938775510204,0.46936633576770015,0.5212809993264343
12,RED2,0.8822545830419846,0.5868282369276405,0.46758462421113023,0.512669632299116,0.6146242875966833,0.5412585128389753,0.8535918367346937,0.4764070494599204,0.7283779315412404
