,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.024802786271159567,0.10824395705795396,0.1608170524265077,0.017136310243460073,0.049111035951427885,0.09209768593025593,0.12461276531427229,0.05507736641965431,0.11305567799481062
1,KNN,0.0623808647868417,0.10897847360885288,0.16431640677322992,0.01839350321512986,0.0558874292849175,0.14043398497773904,0.12109205835470561,0.0534400823588698,0.08213187686794488
2,KthNN,0.05172920340016585,0.10898151847594026,0.04498074949064375,0.018336229461703785,0.05312341284377797,0.12365493874545887,0.12127409762807953,0.05617368280160459,0.08202802624013365
3,LOF,0.005225037301591557,0.08582028688574503,0.023314265267860124,0.02345643751312037,0.050700501003147845,0.0955675156108565,0.07076326597970647,0.03124688435904857,0.049268641397546845
4,CBLOF,0.0014551489115326305,0.08759000098369017,0.025330184110911452,0.015059948167971984,0.026224113214807204,0.021629503445686538,0.04414753358484964,0.024628234047944522,0.02558449232755981
5,uCBLOF,0.03421005240113749,0.10736857769931338,0.1630849392176467,0.018443638281042462,0.05057785592478691,0.08875722775826722,0.09775288116370659,0.05115686708211372,0.08169534312372323
6,LOoP,0.010466155329275261,0.08745109555887037,0.025921413085387344,0.02091825862432707,0.05480327974511125,0.09553998237743516,0.06960097559371542,0.027650320076305676,0.04637858748635079
7,LDCOF,0.00792344909621429,0.11143312102225832,0.15457589285714285,0.022326379378756304,0.04425092988030574,0.06999021185376716,0.13444982865313956,0.021745208794161624,0.052828382218127426
8,HBOS,0.015247848666798399,0.1255733501150259,0.02310496413245773,0.01788169156303914,0.03831440999926988,0.09813241439301518,0.12801722480648148,0.009760028855675668,0.08483714444202256
9,OCSVM,0.0010102072084495302,0.14511940526331862,0.09234883441530076,0.3571360638370568,0.07697387119043295,0.140025795780845,0.06086269153451818,0.012094824729280968,0.04605447660486973
10,Nu-OCSVM,0.001212271228432453,0.1208581570391539,0.09285433148654462,0.5081426909654905,0.07536627759418667,0.14464880880947595,0.06950856804266875,0.00844602412409036,0.04605447660486973
11,RED1,0.017731301260565328,0.11789232760258833,0.1648484906548699,0.018070551277453207,0.05123340630278836,0.07935292768345915,0.13425184405892687,0.05733393628843168,0.07078156548728684
12,RED2,0.018334840290733557,0.1195269762341853,0.16348463350588338,0.01806065401337721,0.04416265521687728,0.08874929702333957,0.13416309636602403,0.05809101352414302,0.08305606905498852
