,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9054206062080078,0.7817223642273343,0.8502581755593804,0.55479850592188,0.5947529051860818,0.9822105902277488,0.7295510204081632,0.8925689858748415,0.7200796032086216
1,KNN,0.9688383546651264,0.5277541102590804,0.8083763625932301,0.5590967959907653,0.6436234490944086,0.916354867895415,0.701265306122449,0.3659312546464337,0.7562880411487354
2,KthNN,0.9720001216064208,0.5171195051910757,0.8100975329890993,0.5578016780224112,0.6305553286518257,0.8918035460087592,0.6879727891156462,0.36747824375737964,0.7569567081011573
3,LOF,0.700057763049889,0.4900438638013191,0.8382099827882961,0.540486513880286,0.6539768988940786,0.886874896013995,0.5893197278911564,0.3787007478025102,0.6258943114322454
4,CBLOF,0.4338005046666463,0.4760958061156868,0.8525530694205392,0.5440527807496668,0.4659336969447004,0.5085982571881879,0.45719727891156464,0.6050695325141033,0.43763884636580735
5,uCBLOF,0.9631532544918371,0.515667897377639,0.810671256454389,0.5527995194924639,0.6186107164474107,0.8353715227271047,0.6339591836734694,0.3935912012944418,0.753930561508787
6,LOoP,0.8317575167968869,0.5064849001230711,0.9213998852553069,0.5403175854496312,0.6683195673444319,0.869980027043368,0.5737687074829931,0.41162209734551974,0.6053260669891617
7,LDCOF,0.9214422521509136,0.5049070655432485,0.8445209409064831,0.5263340653565328,0.5871021019915155,0.8244486416784316,0.5294013605442177,0.420332793982595,0.6766897311860878
8,HBOS,0.8718268324567537,0.673167345135536,0.8209982788296042,0.5028905531467612,0.5723885714840486,0.9978293454939312,0.7143673469387756,0.9293578081952157,0.7628375482211746
9,OCSVM,0.6871370808378683,0.457508914765376,0.7931726907630523,0.5462160031533307,0.6383501692181062,0.8589234578923244,0.5351632653061225,0.4739116412297197,0.5450652133978324
10,Nu-OCSVM,0.6473109780196394,0.46274732557038717,0.7951807228915663,0.5,0.6474702903043515,0.8975374330508482,0.41254421768707483,0.2235153277649014,0.5450652133978324
