,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9635180737542942,0.42806652150588526,0.41767068273092367,0.573099085909492,0.6252696341657205,0.7220451859161483,0.6306258503401361,0.33896007346831675,0.6350866450309227
1,KNN,0.9524518894597634,0.4222600902521379,0.47791164658634533,0.5593971132008183,0.6618805695566317,0.837074842151474,0.6599047619047619,0.32019941400271135,0.7023868715939011
2,KthNN,0.9520262669868969,0.4231121209252422,0.47561675272518644,0.5553522157779154,0.6522729588261236,0.8052140143451639,0.6494829931972789,0.32174366991734815,0.6889927132447493
3,LOF,0.9044781564466604,0.4167061125311622,0.47446930579460694,0.5527807496668355,0.6582012697830294,0.8388925621056016,0.6117278911564625,0.32521482922989464,0.7571942930622741
4,CBLOF,0.5656522664396679,0.43642904477894534,0.4974182444061962,0.4236725040824372,0.4221358462958598,0.45779688020328135,0.31204081632653063,0.5983185376306468,0.5153915865531811
5,uCBLOF,0.9122913689842823,0.43724951876045315,0.4647160068846815,0.5567693376128535,0.6399864705861348,0.7289390790426128,0.6165578231292517,0.33967617090129887,0.6741142612209908
6,LOoP,0.905542212628827,0.41672189087696043,0.4509466437177281,0.5443437130469059,0.6737852318256808,0.8505199363943245,0.5877414965986393,0.3403922683342808,0.7318345477925419
7,LDCOF,0.8944304259264889,0.5249613430527944,0.5593803786574871,0.5279482703605684,0.6094556252187203,0.6511649872210277,0.5038571428571429,0.4028239384265535,0.5691115057253077
8,HBOS,0.9661022101966984,0.4434977436965508,0.5197934595524958,0.555446064906057,0.6457650948264163,0.7121399600031288,0.7515510204081634,0.34277561551580876,0.7638907599044762
9,OCSVM,0.9312923722372541,0.4304963867588122,0.5054503729202524,0.5520674962929595,0.6510953145198152,0.6762633168968564,0.570857142857143,0.3368883106660253,0.4756867307574551
10,Nu-OCSVM,0.9284650229532118,0.43936381709741545,0.4945496270797476,0.5524147380670834,0.6470832474074946,0.6590966638614332,0.5413741496598639,0.36088577425985047,0.4756867307574551
11,RED1,0.9463715684188124,0.45921297611158446,0.49225473321858865,0.5475908928806053,0.6395931924863768,0.6868411109132246,0.7388843537414965,0.3435627760528272,0.5399008021554099
12,RED2,0.9668622503268173,0.47076272523588625,0.4727481353987378,0.5482196820391538,0.612768331329141,0.7874598164954354,0.7494693877551021,0.35938251628985,0.7034829465433838
