,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.006434699183907109,0.09961700584623148,0.1637002469328495,0.017217098103663314,0.06446110482376385,0.03608416529471127,0.13660122442434092,0.014060836418257151,0.04509301261811639
1,KNN,0.0061095734175451045,0.11802608940816825,0.05254045607036728,0.017563329684310194,0.08038528702020632,0.043848946728375776,0.1387868124080724,0.01705904846096674,0.06736367050288858
2,KthNN,0.005906997025064344,0.11725458804443714,0.05251029009806993,0.0174529771760036,0.07872134090577657,0.04282175655780355,0.13438299203991833,0.017020728762193932,0.06541693020101776
3,LOF,0.005055621058625311,0.10181194881032152,0.018039900066003704,0.019008268259411574,0.04795443060489456,0.023488428991772642,0.11657398521661104,0.019260203448350183,0.09425591333842248
4,CBLOF,0.0009862528864731839,0.09343452649596437,0.022844156046328383,0.014191156763354976,0.04812776177060017,0.025997076917543202,0.061758227897333914,0.018544631154311014,0.10124255625256223
5,uCBLOF,0.006319533310379243,0.11676961057854873,0.06391734376509531,0.017358775137953406,0.07506078495028592,0.02258276649824639,0.13102677906662674,0.017412493225898124,0.05926538735143226
6,LOoP,0.004180394237707554,0.10450044831324189,0.021154239212948286,0.018459581038445205,0.05200969751242698,0.023895368735011423,0.12514164102363678,0.02708032618815019,0.08774723299218458
7,LDCOF,0.005246190077584297,0.1252970970580704,0.13525345622119817,0.04768088077006304,0.2568754214369888,0.025529465397194116,0.1159493676947449,0.012922999089536081,0.06008923570486323
8,HBOS,0.004886083934092377,0.10169167329019715,0.1628176510989011,0.017984628678127453,0.0888783952663239,0.03218031419267805,0.1205907652467651,0.012196060714430797,0.04018756615350532
9,OCSVM,0.005955982330821588,0.11938281245549437,0.09946214556357648,0.01656364921305755,0.08779983185215336,0.022077190900373137,0.16002444910016347,0.014741319023521274,0.05310934512636427
10,Nu-OCSVM,0.005965534529887412,0.12032822196217977,0.09772291134394522,0.012000444318815829,0.08720186988872813,0.021160025447913074,0.15987165628648434,0.01526370225809287,0.05310934512636427
11,RED1,0.00533070136059588,0.11486452773768925,0.16001934689293681,0.017855330378955286,0.08127160797908278,0.034509099691748465,0.1411760325432763,0.01185990970098344,0.026447931060540712
12,RED2,0.006647405381177804,0.11709730843442401,0.16012986941466167,0.01793749111996437,0.0666399192179914,0.032389938510879665,0.13875406457844852,0.017383063622469743,0.07659999950459294
