,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9613595597847566,0.7840260027138755,0.8777969018932874,0.4397770144715355,0.6057434755506396,0.9846129758737181,0.6889523809523809,0.8715561726505445,0.74942012124181
1,KNN,0.969993615662907,0.6515825680835621,0.8152610441767068,0.5613960996302345,0.6411724145473114,0.9178433487302687,0.6633877551020408,0.3540145187387939,0.7797489437266548
2,KthNN,0.9699936156629069,0.653665309728928,0.8164084911072863,0.5491863280590122,0.6371131440197402,0.8955598071446571,0.6518503401360544,0.3516448375388114,0.7737664564325515
3,LOF,0.8158574772748001,0.5778030231310549,0.789443488238669,0.5299941813540553,0.6026134594903192,0.8699642300882566,0.6302585034013605,0.38038439672891067,0.6161447553732166
4,CBLOF,0.4021524336484966,0.5995455836410111,0.8519793459552495,0.5346397131970645,0.428215852625358,0.45449521466915443,0.38360544217687076,0.7540287313596011,0.5824530034902946
5,uCBLOF,0.9633660657282705,0.6031114897914103,0.8164084911072863,0.5313080691480376,0.6297116094512174,0.8098556693360973,0.6290204081632653,0.37937311409454677,0.7639666891188538
6,LOoP,0.8504849056030159,0.5913724005175297,0.8491107286288009,0.5099667774086378,0.6078975498414502,0.8613818972499794,0.6214557823129252,0.3930062972842962,0.6292370338619803
7,LDCOF,0.8896421731067401,0.5165514847423396,0.5625358577165807,0.5544231094093136,0.6101683075154086,0.8393609673036151,0.5062721088435373,0.45616499759478724,0.6929814463290674
8,HBOS,0.9377679141458669,0.6086339108207895,0.8496844520940907,0.4560504532912889,0.5966543770399018,0.9945614141026552,0.7655510204081633,0.9107720732933924,0.847374931112608
9,OCSVM,0.9635180737542942,0.5963583577897693,0.8055077452667814,0.565713159524748,0.6390547889929223,0.8027682635095178,0.4731904761904761,0.5431025057943762,0.7273467638234032
10,Nu-OCSVM,0.512327850910528,0.5993246867998359,0.8057946069994263,0.5499652758225876,0.6368315974082088,0.842631421111917,0.4608163265306123,0.3012802291511786,0.7273467638234032
