,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.719149971118475,0.8943481965350752,0.948938611589214,0.47259605458265297,0.5218796199087267,0.9926180319185122,0.7778911564625851,0.9398095508811826,0.5287986038821872
1,KNN,0.8463198856899644,0.8693552967906845,0.8760757314974182,0.49611464609493783,0.5180382885536963,0.9869839714411436,0.8259319727891157,0.8314437836183146,0.6254669034351846
2,KthNN,0.8224850272094366,0.8654107103411278,0.876649454962708,0.4963304990896635,0.5165433742474236,0.9864906478203896,0.8136802721088436,0.8287269864870774,0.6125760822974711
3,LOF,0.9211078344936612,0.7821326012180883,0.8950086058519793,0.5034067233515401,0.5360592663986673,0.6389860698882773,0.7701768707482992,0.8641710762233787,0.5880913599902027
4,CBLOF,0.3833034384215487,0.3013664047461264,0.34825014343086635,0.5091033654297351,0.5178382877948707,0.8457425295052725,0.38013605442176873,0.3807725106048017,0.5999889780172678
5,uCBLOF,0.7900465144559632,0.8644955662848307,0.8141135972461274,0.5009572611070443,0.5158368295106379,0.83867171048156,0.805265306122449,0.8369593737700617,0.5817769885493846
6,LOoP,0.9294378743197641,0.7963331124364922,0.7917383820998278,0.49577209677722095,0.5451717992290332,0.6113386976735417,0.7699047619047619,0.8659913849652338,0.6115963504990508
7,LDCOF,0.7449001307269023,0.5581747609580612,0.6399885255306943,0.49881750098541583,0.525510209775102,0.8890528375025829,0.7459727891156462,0.805582280141689,0.495676933439471
8,HBOS,0.7373301310309184,0.8410805011202626,0.9483648881239243,0.46776282448336054,0.5087086395417765,0.9862847268668242,0.7458095238095238,0.9519066777452223,0.6800048986589922
9,OCSVM,0.8694859088559876,0.47978793903247186,0.444635685599541,0.5454792874974191,0.5130033691856105,0.848159871300678,0.49474829931972786,0.47612826343639314,0.5935643867491275
10,Nu-OCSVM,0.43018271364728056,0.5534412572185932,0.5129087779690189,0.5005912495072921,0.5203316157092965,0.9166215306892798,0.5140544217687074,0.33578683255346137,0.5935643867491275
