,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7941507311586051,0.8300672157531005,0.9506597819850832,0.5470747226758264,0.5996023447041116,0.9443353520313227,0.6818367346938776,0.95338807014475,0.6161233237401261
1,KNN,0.9791140972243335,0.9689166587774938,0.9615605278255881,0.48506391125626447,0.6928992114463037,0.9609353020416036,0.8974557823129253,0.9694756636200639,0.5917420856040658
2,KthNN,0.9799653421700666,0.976521821452239,0.9667240390131957,0.4766691067439983,0.6626598025312637,0.9586316473650806,0.871374149659864,0.9702901561201732,0.5725577123262506
3,LOF,0.9797829325388381,0.8393133263908612,0.9615605278255881,0.4999530754359292,0.7792890217131246,0.510767943493782,0.8929387755102041,0.9768498272619933,0.6813844834976426
4,CBLOF,0.5320888942936186,0.4287923254126037,0.07630522088353411,0.5198115509506918,0.5719168860565352,0.13049141015086857,0.7722585034013605,0.46322211046486206,0.593353744412467
5,uCBLOF,0.9505365883318639,0.9816024487992678,0.9586919104991394,0.47203295981380333,0.5739187070147622,0.985153919670445,0.8690068027210884,0.9586412734508243,0.5180307390851755
6,LOoP,0.9792053020399476,0.8442361702799078,0.955249569707401,0.5223830170617716,0.7940254285802285,0.49475724538811716,0.8975238095238095,0.966436349324354,0.7032459739146408
7,LDCOF,0.9392575928008997,0.8514784310012937,0.6376936316695352,0.4885316365410965,0.5891869473964249,0.49996866087937575,0.7800408163265307,0.9634243669917347,0.5010666829955299
8,HBOS,0.7445049098592404,0.6846539808766449,0.9386115892139989,0.5252360305572762,0.5545494606981911,0.9972508711893349,0.7205850340136055,0.9260014431276512,0.7258355275243402
9,OCSVM,0.7333475207490956,0.9380226577045663,0.9661503155479059,0.5131201081141956,0.54800087956813,0.9835356999719987,0.638,0.9175504001399397,0.4975935337701305
10,Nu-OCSVM,0.7257775210531116,0.9340780712550096,0.9672977624784854,0.5590686412523228,0.545303170908948,0.9827394315185435,0.6330748299319728,0.9126962434949928,0.4975935337701305
