,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.003304461468798094,0.3492917532634657,0.18734359410474158,0.014711257643414494,0.0,0.08047857512894173,0.22986979990563078,0.081807300800408,0.04414811231891713
1,KNN,0.004786810680590847,0.35184551456995855,0.2351276386632858,0.01537456272612239,0.0,0.08434831794174243,0.28626798161234224,0.07106407616028315,0.04091456070310981
2,KthNN,0.0043681482108122015,0.3498422499537013,0.23824148804618345,0.015441208942627327,0.0,0.08434324555593947,0.26542578093379793,0.07154015339850037,0.039218783186049044
3,LOF,0.005571668797165179,0.2782986064437868,0.16773640897474806,0.0170357023361842,0.0,0.03974636247242878,0.31918197533557363,0.09103091046071003,0.04873756966518053
4,CBLOF,0.0010994083183231433,0.11699804447196355,0.018961214307829218,0.01894466886472739,0.0,0.03687553311382484,0.049461772605124674,0.012728471798474878,0.045987606190571434
5,uCBLOF,0.004104604998176499,0.35373841384811633,0.26117237141733546,0.015227751694028097,0.0,0.05828384940637279,0.25105456535152015,0.0634931717917854,0.038686611782841177
6,LOoP,0.0062553564717139475,0.27112651938421445,0.17058818915193455,0.017168322821224033,0.0,0.022671897451444514,0.29476705940377845,0.09375732787149342,0.057367456496246805
7,LDCOF,0.002185471678997499,0.2897941466551596,0.1411458333333333,0.009059579949647477,0.0,0.07216696770185206,0.3599107142857143,0.0796371401104923,0.032020338526814365
8,HBOS,0.003376219391895912,0.3353399701927979,0.1719830740120705,0.014851701826194918,0.0,0.17771649303628687,0.2137199418944996,0.09217299503245445,0.0468505069145891
9,OCSVM,0.0037639365541074807,0.3215315332401727,0.2359889933544009,0.015419785905166405,0.0,0.020654915900807577,0.23566972124686297,0.05716230662489657,0.038247474592178574
10,Nu-OCSVM,0.003794131396803649,0.31489411528612526,0.2363391285244388,0.015405594357377931,0.0,0.018104687016761184,0.23371937393693903,0.057689649555977794,0.038247474592178574
11,RED1,0.0033502057372085245,0.3466727787107799,0.1945981270347436,0.015349364935740835,0.0,0.0,0.24019666227090342,0.058476558974383586,0.036366943968204786
12,RED2,0.0029723648225731284,0.34863358338684586,0.1893093086116687,0.015288166776191414,0.0,0.0,0.2323656001031159,0.08938789057836541,0.06931759937579067
