,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.014934201191564049,0.4092288465139292,0.3691449253085198,0.015089421028759046,0.04250449630995324,0.659924605886294,0.22411460477220727,0.6104466667069972,0.07428222256755757
1,KNN,0.04830092287413808,0.4838830438913034,0.2981701783691514,0.016148524089878054,0.06739794024566634,0.40439907123105734,0.3180060052386256,0.32607212739327174,0.062107253258082744
2,KthNN,0.037105502051273394,0.4937852842083261,0.3105695988364622,0.016080408866599543,0.06036236349722271,0.41707689655367874,0.2922565254664585,0.3218106008659397,0.0567083626868006
3,LOF,0.014327026235322596,0.23853658238434478,0.39026837530596925,0.016152531549176237,0.07362940146491018,0.019683601036721707,0.3389456374570625,0.3084501436093535,0.08836936179919526
4,CBLOF,0.011508665748595165,0.1179932361828846,0.018912019757237004,0.01702485489625289,0.029251789352006355,0.01014031963568709,0.07172376485273327,0.00970775939419665,0.0660994531731619
5,uCBLOF,0.02327894147946067,0.47546894892671865,0.3564244277957074,0.015829031785186562,0.05389297032368723,0.5047781500540334,0.3193647152983317,0.4024391059245996,0.04874617702523125
6,LOoP,0.01061276071434213,0.23001358145738884,0.2702579534019275,0.01717907575147667,0.08645234382848055,0.020262499943569715,0.34131921925835884,0.21248528632345776,0.09564976461150605
7,LDCOF,0.017851690508280775,0.2129978893837861,0.11171875000000002,0.013950914463925948,0.04172409959297963,0.16327673881110763,0.14297025752582437,0.19727013045203087,0.04477503794435379
8,HBOS,0.010964924278688011,0.39746302850655996,0.21161325297480904,0.015754791728617826,0.04343342025885119,0.7790044219140675,0.17256980305914,0.6357156790179272,0.11928814486946974
9,OCSVM,0.01725335665399071,0.42238570270972675,0.2796337491040372,0.019933361345542654,0.057093661720545356,0.3880380883754045,0.2794163592998393,0.3570152803133565,0.04356534755368724
10,Nu-OCSVM,0.017973265743603764,0.4108149887060439,0.28254635445282683,0.012339885017462124,0.05641512818022655,0.39945367070891524,0.2869646076170128,0.35138467690582686,0.04356534755368724
