,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.01932468381898703,0.2880563561415051,0.21421110877090854,0.016643898103711783,0.04985088374558812,0.1694184176778773,0.2654404999199886,0.12628698075238415,0.06139075413156918
1,KNN,0.02194015562228437,0.2807257682999653,0.21779714462247504,0.016367936805472202,0.06195818758596885,0.25902405741284784,0.2627027765224849,0.12064650250776562,0.06889000193211975
2,KthNN,0.01909585693074769,0.2794868690592272,0.21937837982644307,0.016297680330964695,0.05750053931092157,0.24168742281902517,0.2527075293756998,0.1208639041261797,0.0642532745081951
3,LOF,0.003004553171893599,0.22131920425670162,0.06565138636002191,0.01652062713334377,0.05049948971574221,0.03537879167750487,0.12299597816216032,0.05981638791750646,0.08464024047217932
4,CBLOF,0.0013972971167014875,0.08285856239857822,0.016074175455204127,0.017537535498691165,0.02854212818522546,0.014632800450914056,0.058058369234362917,0.011222051670493347,0.0868974407578188
5,uCBLOF,0.013688821169208313,0.26113595077877233,0.20046853088345984,0.0160416849122093,0.05434553019072995,0.20481177279535656,0.2469272369758932,0.1160772524979617,0.06063777793974105
6,LOoP,0.004391823457741677,0.20563492690420804,0.052504409607575034,0.01825176154175559,0.05777019676653461,0.04919995287188059,0.12775361986981182,0.052144379388799414,0.09514999322302659
7,LDCOF,0.01591096762656761,0.1581172348935429,0.10100446428571427,0.011417531538513256,0.041596503920205835,0.06626468482141813,0.12306885690508806,0.03334231735829557,0.06833581129515452
8,HBOS,0.009979088441493741,0.3511963357817774,0.0973280845488932,0.016419792105240846,0.04774330391739436,0.33405768232960803,0.2050046892924951,0.15588592999167916,0.102346081288439
9,OCSVM,0.016031281264265444,0.25719086345190406,0.20862718644672815,0.03701133648083772,0.057490345030632176,0.1848761758745854,0.2564152417384159,0.11734525076296111,0.049420192456224796
10,Nu-OCSVM,0.016178708486409815,0.2538632282920484,0.2136702750422111,0.014403943070881334,0.05642082178321689,0.18453691877987147,0.2499070210004395,0.1132440163194764,0.049420192456224796
11,RED1,0.015252764038813142,0.2979676443725762,0.21680769244544285,0.01634595533150678,0.05606352695772429,0.22062581571799136,0.2658807236000232,0.14064335262756905,0.04752490578570126
12,RED2,0.01667905814412378,0.3111598610940705,0.21988014424610702,0.016302431916039344,0.04674346015013856,0.1993920233271151,0.26711582424950586,0.13196429628586545,0.06367232596470042
