,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.014934201191564049,0.4092288465139292,0.3691449253085198,0.015089421028759046,0.04249572600083433,0.659924605886294,0.22411460477220727,0.6104466667069972,0.07428222256755757
1,KNN,0.02246278994869976,0.29757199809026114,0.22150592314324302,0.016297141421693695,0.05700243227497816,0.31464010734257675,0.26822978889939325,0.14225980473727323,0.07368380992774304
2,KthNN,0.019624737443961753,0.2933271465904574,0.224609180056088,0.01622238360466768,0.054062780591378985,0.2788552753437844,0.2569047881285359,0.14185036206377952,0.0710890854075395
3,LOF,0.0028188332745175673,0.22804392500632453,0.08816222694173553,0.016248185655682076,0.05498261555011878,0.037159136564580184,0.16147828009783988,0.08086667571797986,0.08626856324832251
4,CBLOF,0.0012339381975785923,0.07046130712581719,0.014722240260332557,0.021742681148712344,0.027034303664571963,0.01592015705417623,0.046824937369376526,0.024470483260643786,0.09013633893895918
5,uCBLOF,0.014664598992961582,0.2604690496090275,0.20817522141926031,0.016279363560714338,0.051472064643715634,0.2016968249409243,0.23574737281921643,0.139567715715342,0.06848036515203118
6,LOoP,0.0032645738738849364,0.2173466524460438,0.06981829518058036,0.01782395023050106,0.0611776241582935,0.0415557792038445,0.14302656763075156,0.0724531616559517,0.08792943130542927
7,LDCOF,0.004492578615619281,0.23509450894609907,0.08909970238095238,0.0081426909654905,0.5155449134199134,0.10043377107007599,0.13746462822851044,0.028527734706228762,0.03949021842985795
8,HBOS,0.011259642240264114,0.3907724088993651,0.26853465313532243,0.015783836992821605,0.04276771842686944,0.8783477210196913,0.16194138970372232,0.6316928164257172,0.12482399796117333
9,OCSVM,0.03328572102708408,0.1226164376938286,0.02732977964804918,0.34543133598236125,0.07850954678218701,0.26191890282095054,0.06538310040192968,0.018188171139880947,0.07555983888618391
10,Nu-OCSVM,0.003067900218386529,0.1289594563585536,0.034194279507066404,0.5081521739130435,0.07576307627596326,0.264581427252405,0.06493599684457516,0.009657295141781038,0.07555983888618391
