,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.010504826212157956,0.4560860081611857,0.43733607258952883,0.017870916300356872,0.038550001240341365,0.6341432332906646,0.1876233646663144,0.6561868251754946,0.1225364699642791
1,KNN,0.08219397387945253,0.5590218963685425,0.3217169797262016,0.01607061927728049,0.06550729312052288,0.5172830482589692,0.34578603642501426,0.4765249537015652,0.079613152928461
2,KthNN,0.0592718346356892,0.5657355789645898,0.3299148080528282,0.015721114955864392,0.05629017053213731,0.5191996085607212,0.3278761150247625,0.46794822413900655,0.07573404880568584
3,LOF,0.15317561635902638,0.26986060495162517,0.4076994456136679,0.016731209022730488,0.07201218722923802,0.019582861124483462,0.2556274843538147,0.4738588965967406,0.08107907327721514
4,CBLOF,0.0020920461004484796,0.11951162667435584,0.016064460836386477,0.01710646664655531,0.027442835163808,0.06999902122062678,0.058128484761442126,0.008977481527818663,0.0570685245615058
5,uCBLOF,0.034736933391872823,0.3404451599988187,0.22464750776433104,0.015356812762774976,0.04450810038231591,0.47984716768607183,0.30116598106928166,0.5261223969693611,0.0719712298273461
6,LOoP,0.1573296968369391,0.2439990964680342,0.35384115075089007,0.018337926676384356,0.08466744310759686,0.018522175903290878,0.22403933935094772,0.3100399041943856,0.07662770393120133
7,LDCOF,0.006343850306711222,0.5217619744571751,0.5332105705240033,0.015519671776266904,0.041034676100722825,0.14585907499608008,0.10812597082018667,0.3321225527840159,0.07943134492919515
8,HBOS,0.007047873441288269,0.3908936237330293,0.4008821069220228,0.016432999707949637,0.035402817627341314,0.8596162812809989,0.12944385018515955,0.576147923686034,0.15434575017664523
9,OCSVM,0.0175062650045793,0.48667279859227264,0.32320995207589315,0.017283529735591698,0.046444579279784924,0.48402840640667144,0.30990174284945565,0.5080163250143199,0.057483852464762196
10,Nu-OCSVM,0.019820784979953193,0.4706498773622217,0.3233997299387139,0.00920948283186128,0.04632490756519225,0.4933466372806927,0.3122930069399222,0.49590999342591563,0.057483852464762196
