,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.003355094145066042,0.3330658497653292,0.18241906954500975,0.014664352860432639,0.0,0.06781460751995841,0.24042069742530378,0.0815320520974804,0.05178470336107187
1,KNN,0.006076181761534577,0.3663542869984145,0.1992274612583153,0.015163426876430651,0.0,0.08273047049324116,0.2962378476266843,0.08307419174749023,0.05108920577247579
2,KthNN,0.005362170956321667,0.36596122039704077,0.19949920315102823,0.01517144001253398,0.0,0.08257056212223622,0.2630225091467636,0.08314270272010835,0.04738321076298155
3,LOF,0.010824412337308277,0.29166212940060565,0.2171907012805565,0.015264419080510936,0.0,0.024383864137232023,0.29917386021117864,0.09508067915430737,0.07265929386362724
4,CBLOF,0.0013442466248871588,0.07932274468749395,0.015195027729174313,0.020390084001736527,0.0,0.01401296024340968,0.05239519878168673,0.04121870504755283,0.06073961104680023
5,uCBLOF,0.0041727396722863385,0.3830110983444122,0.1943822000357984,0.014967814273893564,0.0,0.06952171233795462,0.2298248060904252,0.08292912763866621,0.0459679459987174
6,LOoP,0.009285749383641455,0.2845433880769408,0.2413049978124175,0.015346299057258839,0.0,0.021478691775285875,0.31223802852915744,0.09148785904464926,0.07892036269948248
7,LDCOF,0.004058501748995713,0.2054574440691078,0.26171875,0.015840877241625886,0.0,0.07403359208751423,0.20859920189543285,0.047648248266789,0.03590006587717398
8,HBOS,0.002860101509208561,0.34163097443345314,0.1755533889408829,0.015028896676427372,0.0,0.05897859137155596,0.21624144145272578,0.09945127346061734,0.06404928740599118
9,OCSVM,0.0035343452747446146,0.32584171933613765,0.2061689298734426,0.015159804787276087,0.0,0.0603856611660075,0.23928769109073825,0.0636601483034019,0.03734178751754327
10,Nu-OCSVM,0.0035472211648967652,0.3229746330209936,0.20471538901786404,0.014764968390769115,0.0,0.05845810688177945,0.23634560547128342,0.06434762765305432,0.03734178751754327
11,RED1,0.0029023451398354,0.3516158052950523,0.18274799157864988,0.015340212604444466,0.0,0.0,0.22573398997985858,0.06783359986826044,0.03967240742404124
12,RED2,0.0027531997600103433,0.3470274558058407,0.18063251885093087,0.015312610694463803,0.0,0.0,0.22292397688711488,0.08958399596928528,0.06578084374499726
