,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9644605235156416,0.7694468111963142,0.8278829604130808,0.5003097021228673,0.5982217982470236,0.8130711395490274,0.8411020408163266,0.7249256570603927,0.5945116649317249
1,KNN,0.964764539567689,0.7947237211650731,0.8514056224899598,0.5053681701296995,0.6542444965058314,0.9390367475394331,0.8797414965986395,0.7568876546989111,0.7771991917212664
2,KthNN,0.9627580336241752,0.793540345230206,0.8508318990246702,0.5030594815774162,0.635776020798963,0.9162493085647269,0.8744081632653061,0.7542965845978922,0.7707286755250751
3,LOF,0.8967561487246527,0.7356811511881094,0.8519793459552495,0.5015672804399647,0.7116755415782858,0.7825716270889244,0.8353061224489795,0.7446975991603622,0.7383797685383626
4,CBLOF,0.3135013528714316,0.30840354697213546,0.25989672977624784,0.5001501586050265,0.451279045165299,0.4515333365436823,0.3825986394557824,0.2888113875891022,0.5714579633825241
5,uCBLOF,0.9611467485483234,0.7448010350594844,0.82960413080895,0.49768192653490245,0.6052678565051886,0.8709737829146759,0.8714965986394558,0.7496392180871999,0.7541044639030066
6,LOoP,0.9176420515003193,0.7098677774622107,0.8479632816982215,0.49723145071982283,0.7384098318799591,0.7743045963788793,0.8164081632653061,0.7396985831110334,0.7024052415651216
7,LDCOF,0.9329036573131061,0.6735775821262899,0.6356855995410212,0.5257240460236124,0.5987877231170413,0.844310535524422,0.7763673469387755,0.6505499190973894,0.6401996203539282
8,HBOS,0.9401696409570425,0.840417810596737,0.8273092369477911,0.5079865608048502,0.5956589206197017,0.8614804753456667,0.8363673469387755,0.7696735470328421,0.7792749984691691
9,OCSVM,0.9695831939926428,0.47282968853545393,0.4136546184738956,0.5454792874974191,0.6174335045600954,0.8775647312084389,0.42953061224489797,0.48163018760659465,0.7575653664809259
10,Nu-OCSVM,0.6799623020095461,0.5178453090977941,0.5519219736087206,0.5005912495072921,0.6180922739726395,0.8781921251159612,0.48877551020408166,0.35318909345344823,0.7575653664809259
11,RED1,0.9469187973124982,0.8262172993783332,0.8600114744693058,0.5090845956041069,0.6087139290024925,0.8712322414834665,0.8590476190476191,0.7514103292954912,0.5712399730573756
12,RED2,0.9610251421275043,0.8378617185774243,0.8634538152610441,0.5072826923437882,0.5937997002862111,0.8863214420479782,0.8586802721088436,0.7738225390300434,0.7046708713489681
