,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.003355094145066042,0.3330658497653292,0.18241906954500975,0.014664352860432639,0.0,0.06878150865641361,0.24042069742530378,0.0815320520974804,0.05178470336107187
1,KNN,0.00565825335695942,0.3590959762313085,0.19752107583711087,0.015223724430815402,0.0,0.08273046993883379,0.2820389388499589,0.10646655513779707,0.07835856668466519
2,KthNN,0.004766808116466023,0.35631091174777313,0.19880019682040745,0.015222023197038803,0.0,0.08257060770680165,0.25009608274077827,0.09542208553379096,0.08213374443889558
3,LOF,0.01549742154944053,0.30849341752993187,0.20879849639524561,0.015415859022885933,0.0,0.02437473331995243,0.29209094157456544,0.09830826337211428,0.07682428490450906
4,CBLOF,0.0014339270600674141,0.10485643885190854,0.01676495931392354,0.016866204310198144,0.0,0.01401296024340968,0.05259750815141195,0.012805414972536792,0.06884327503523399
5,uCBLOF,0.003354049101114138,0.3388434028213352,0.21340131401859538,0.015345492196055011,0.0,0.06952171233795462,0.2139138810185484,0.09042249657808842,0.07830837995421812
6,LOoP,0.011090127564791212,0.3006089668371989,0.2346838555913543,0.0158733188704654,0.0,0.021478795269820702,0.2919688683223675,0.09115139260733084,0.08437307629243478
7,LDCOF,0.003650723045216914,0.3065005765589375,0.24037795393895042,0.0171285225935368,0.0,0.07036589150473412,0.17082609926481623,0.0661935295886414,0.043744505169176405
8,HBOS,0.002796860620215542,0.3419229996398782,0.1763025459288305,0.014946055961995403,0.0,0.05897859137155596,0.20556297233559753,0.08661438452113937,0.0614278118637325
9,OCSVM,0.006778994781845952,0.12636700409140705,0.058410256364746324,0.34543133598236125,0.0,0.07248987642015216,0.06502747729640132,0.10091508868450161,0.07439875535062228
10,Nu-OCSVM,0.0013020335407939053,0.12329984226414303,0.041830935552942754,0.5081521739130435,0.0,0.06672450530499964,0.0652129768590009,0.10065391619819844,0.07439875535062228
11,RED1,0.0029023451398354,0.3516158052950523,0.18274799157864988,0.015340212604444466,0.0,0.0,0.22573398997985858,0.06783359986826044,0.03967240742404124
12,RED2,0.0027531997600103433,0.3470274558058407,0.18063251885093087,0.015312610694463803,0.0,0.0,0.22292397688711488,0.08958399596928528,0.06578084374499726
