,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.6849481652631259,0.8978825459938781,0.9575444635685599,0.4958237137976988,0.5536719430711189,0.9950325710283334,0.7697687074829932,0.9506548738356584,0.5193784826403772
1,KNN,0.8859027756665553,0.869386853482281,0.8209982788296041,0.48089231751037037,0.6862068719245245,0.9311474933671898,0.84,0.8760604801679276,0.663446206600943
2,KthNN,0.8557139816982336,0.865142478462558,0.8175559380378657,0.48070461925408714,0.6552588398717316,0.9451305758474239,0.8260408163265306,0.8736170026675998,0.649223562549752
3,LOF,0.9596266682880856,0.8402284704471582,0.8485370051635113,0.49194774480545067,0.775270663601904,0.6034939807231285,0.8504353741496598,0.9025451524030261,0.6760014695976976
4,CBLOF,0.5689356398017815,0.5615828836504781,0.3522662076878944,0.49523246429040674,0.5218521682771624,0.3766094995244352,0.4505170068027211,0.47165128788210087,0.5197832343395996
5,uCBLOF,0.8143677986197672,0.8629492883966045,0.8152610441767069,0.4807140041669013,0.5641424668259307,0.9976855422444976,0.8423945578231292,0.8747868106878909,0.6191084440634376
6,LOoP,0.949654941780926,0.8376408217362492,0.8617326448651749,0.4931255513636278,0.7917760686719302,0.538064088246887,0.8497551020408164,0.9121414046442472,0.6786418467944401
7,LDCOF,0.7919618155838628,0.5089778787591909,0.5622489959839356,0.49980291683090267,0.5813051487655247,0.9962195083732781,0.5252448979591836,0.8396871036865352,0.50485579572592
8,HBOS,0.7770650290335328,0.8382088421849853,0.9558232931726908,0.4539857724721737,0.5422678267101251,0.9973860115924171,0.7502448979591836,0.9386670748239822,0.6738123813606025
9,OCSVM,0.9115617304593683,0.46861687020732745,0.4102122776821572,0.5454792874974191,0.5395504918082547,0.9979106998127552,0.49781632653061225,0.885848056150785,0.6441454901720653
10,Nu-OCSVM,0.718906758276837,0.5880905045914986,0.3086632243258749,0.5005912495072921,0.5361144067947922,0.997894495194286,0.532374149659864,0.5267033279398259,0.6441454901720653
