,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.8127565135439151,0.8937801760863391,0.9535283993115318,0.47856485913245866,0.5826515759691542,0.9570251989460883,0.8098775510204081,0.9460412384659116,0.5590086338864736
1,KNN,0.883075426382513,0.7840891160970682,0.8009179575444636,0.4959879497719466,0.6358096936844285,0.9603249280792661,0.8741360544217687,0.829426684742205,0.6416337027738657
2,KthNN,0.8750342018058554,0.7778408911609707,0.8032128514056225,0.4937965726298402,0.6250228205636379,0.957881648702726,0.866687074829932,0.829546945379805,0.6239856714224481
3,LOF,0.7486395281670872,0.7424973965729433,0.8118187033849684,0.4903053850629727,0.6612889785270213,0.5082991341994652,0.8375238095238096,0.8728899724493813,0.7039728124425938
4,CBLOF,0.36503207369349094,0.4566568840922718,0.6844520940906483,0.5503219025095257,0.5122527456095245,0.03820243899891128,0.31160544217687075,0.571801067039839,0.5923568673075745
5,uCBLOF,0.8071018149758308,0.7810912303954054,0.8095238095238095,0.49338363646601724,0.5968833638202673,0.9865456823736809,0.8553877551020408,0.8268246818559496,0.5719441552874901
6,LOoP,0.7425896087313409,0.7630092461106377,0.8141135972461274,0.49039923419111436,0.6879233242452809,0.48916341618836284,0.83421768707483,0.874196440285127,0.6918180148184434
7,LDCOF,0.7118231842641292,0.5050332923096342,0.5565117613310384,0.49881750098541583,0.4506246696876852,0.9842859534239518,0.5177414965986396,0.8016027463156514,0.4996785255036434
8,HBOS,0.8549843431733195,0.8068730474297074,0.9443488238668961,0.4703999849841395,0.546293787026225,0.9973528379866832,0.8099863945578232,0.9403397909651463,0.7272157246953646
9,OCSVM,0.8831362295929226,0.7758528195903941,0.7974756167527252,0.5454792874974191,0.6051209595885201,0.9826068899693666,0.527904761904762,0.8306702890628417,0.5558202192149898
10,Nu-OCSVM,0.8813121332806373,0.6417053236138723,0.8078026391279403,0.5005912495072921,0.6009522033616866,0.9818109782213494,0.4966190476190476,0.8441832116149909,0.5558202192149898
