,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0032931155734848396,0.4669031716337428,0.35460453788338714,0.015818933794351557,0.031942490269515546,0.3212455292782657,0.17719003976469097,0.6073901330177289,0.11134881359287149
1,KNN,0.006776040001706334,0.40720463425624864,0.23570848340687303,0.013707240902656563,0.036470829014311416,0.6424026198969346,0.24468233691014432,0.2537435495872799,0.0436466293376077
2,KthNN,0.005229766759976485,0.3991201826625478,0.2389897907627716,0.013782545225643598,0.035812005276318296,0.48359302032779033,0.2225724558788696,0.25138855865086907,0.04277899725864488
3,LOF,0.02380594134323916,0.24538041000365246,0.14354933757164504,0.014942959506452221,0.03557252121184288,0.10920473890094554,0.17979155403266955,0.1728566966520663,0.04443332730657076
4,CBLOF,0.001208750723509609,0.07933194201188139,0.03143555904443983,0.017132850187848027,0.03301625633036514,0.2412821238247034,0.045892175343130504,0.01720205152121913,0.041402315570251064
5,uCBLOF,0.0040788280092812455,0.3879108930322862,0.20068958583447735,0.013815484489973284,0.0361463177066117,0.07689934378797954,0.18565265659769942,0.20596457402122775,0.03909251132101306
6,LOoP,0.020347845568963935,0.25669567619623135,0.06548516989092945,0.015798308481279853,0.03661809173138217,0.049027337697402945,0.169023330561522,0.14839802308538266,0.05001652010637826
7,LDCOF,0.0024949935184326675,0.40567444095816574,0.13314732142857144,0.014781289248862477,0.035021607521317985,0.0713886294325922,0.1540425722606595,0.06776394122259095,0.0377617193175942
8,HBOS,0.003487404334053308,0.34735435858176106,0.34790172322837826,0.015827227096286124,0.03215637357489298,0.7970405195667363,0.1250721916406856,0.6327224855810353,0.09623794237651352
9,OCSVM,0.012572211634255665,0.10874622399271716,0.16358482578077482,0.01843076000590845,0.03658656374694061,0.15458375442133343,0.07828322492146868,0.013064276282152306,0.037959650886000076
10,Nu-OCSVM,0.001178311648982286,0.1326488798956292,0.032051223188529196,0.01563990811254941,0.03711115365652158,0.19722197938121816,0.06425363671466391,0.009911215421915722,0.037959650886000076
