,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.719149971118475,0.8943481965350752,0.948938611589214,0.4764438688364585,0.5218796199087267,0.9182562352747536,0.7778911564625851,0.9398095508811826,0.7030034902945318
1,KNN,0.8463198856899644,0.8693552967906845,0.8760757314974182,0.42495823713797704,0.5180382885536963,0.982492336565849,0.8259319727891157,0.8314437836183146,0.562134590655808
2,KthNN,0.8224850272094366,0.8654107103411278,0.876649454962708,0.4253054789121009,0.5165433742474236,0.9796633566949917,0.8136802721088436,0.8287269864870774,0.5517818872083766
3,LOF,0.9211078344936612,0.7821326012180883,0.8950086058519793,0.4586782288792537,0.5360592663986673,0.6438736223207918,0.7701768707482992,0.8641710762233787,0.5631975996570939
4,CBLOF,0.3833034384215487,0.3013664047461264,0.34825014343086635,0.4734594665615556,0.5178382877948707,0.8571750407090081,0.38013605442176873,0.3807725106048017,0.5370277386565427
5,uCBLOF,0.7900465144559632,0.8644955662848307,0.8141135972461274,0.42757662781312755,0.5158368295106379,0.8655668928433933,0.805265306122449,0.8369593737700617,0.5377870308003184
6,LOoP,0.9294378743197641,0.7963331124364922,0.7917383820998278,0.465322747151679,0.5451717992290332,0.6261624074763422,0.7699047619047619,0.8659913849652338,0.5927438613679505
7,LDCOF,0.6846137476058736,0.5725014989428507,0.5639701663798049,0.460395667924245,0.5226578625043744,0.8741380658972531,0.7287755102040816,0.7907519569685573,0.5334113036556243
8,HBOS,0.7373301310309184,0.8410805011202626,0.9483648881239243,0.445905362539182,0.5087086395417765,0.9857965499959616,0.7458095238095238,0.9519066777452223,0.701220378421407
9,OCSVM,0.8694859088559876,0.47978793903247186,0.444635685599541,0.5508474576271186,0.5130033691856105,0.8329093379623508,0.49474829931972786,0.47612826343639314,0.49379584838650414
10,Nu-OCSVM,0.43018271364728056,0.5534412572185932,0.5129087779690189,0.4720517296394317,0.5203316157092965,0.9048958076155083,0.5140544217687074,0.33578683255346137,0.49379584838650414
