,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.8277749065150639,0.6850011044842058,0.6838783706253586,0.514133678698125,0.6082941338541554,0.5185377013442953,0.824734693877551,0.0,0.6486859347253688
1,KNN,0.8355577174474812,0.6838650635867336,0.6454388984509466,0.49565478536704394,0.6287200029549561,0.6519874735241759,0.8331700680272109,0.0,0.6090882370950952
2,KthNN,0.8326695649530296,0.6812931932216226,0.6345381526104417,0.4940499652758226,0.6235755978876081,0.6403485572666374,0.8233401360544218,0.0,0.5968195456493784
3,LOF,0.7972212932842854,0.6588721638423427,0.640275387263339,0.4960207969667962,0.5977370147087181,0.6379911674637758,0.7698775510204081,0.0,0.7148698793705224
4,CBLOF,0.2250326817255951,0.4371864053772602,0.5484796328169822,0.4999812301743717,0.47426175197651743,0.5354615908501997,0.37114285714285716,0.0,0.6962868164839875
5,uCBLOF,0.8008390843036512,0.6792577866136513,0.6058519793459552,0.4953169285057342,0.6107558951820824,0.5314893700505527,0.8157006802721088,0.0,0.5033347621088726
6,LOoP,0.7958228194448667,0.6690965319195935,0.6632243258749283,0.49794001163729185,0.6140901664461609,0.6166939418931937,0.7840680272108843,0.0,0.6879003122895108
7,LDCOF,0.6439363998419116,0.5116601975448896,0.557659208261618,0.511904761904762,0.4312021521409594,0.49502230300751093,0.514591836734694,0.0,0.4696430102259507
8,HBOS,0.8343568540418934,0.6968664205244722,0.5433161216293747,0.5031251759671153,0.5619698961614137,0.5004835397001688,0.8402585034013605,0.0,0.6100079603208621
9,OCSVM,0.7964308515489619,0.6165546404114992,0.4876649454962708,0.49242637535897293,0.6036882996682593,0.5096137975701736,0.7697006802721088,0.0,0.4867172861429183
10,Nu-OCSVM,0.7303985650442343,0.6029221496418316,0.5152036718301779,0.4923606809692738,0.5950603969372014,0.5095951469715582,0.7524353741496598,0.0,0.4867172861429183
11,RED1,0.7814732617882223,0.6994856259269778,0.6695352839931152,0.49887381046230084,0.6169440062598647,0.5079920617752669,0.8195918367346939,0.0,0.40271753107586794
12,RED2,0.7945155504210621,0.7144119410521,0.7142857142857143,0.4971282166788671,0.6108099475562245,0.5143996634738982,0.8418231292517007,0.0,0.6458538974955605
