,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.8277749065150639,0.6850011044842058,0.6838783706253586,0.514133678698125,0.6082733916914848,0.5204853894726542,0.824734693877551,0.0,0.6496221909252342
1,KNN,0.8349800869485908,0.687304742970747,0.6385542168674698,0.4954764720235749,0.6292718532841971,0.6544097582377937,0.8450612244897958,0.0,0.6755434449819362
2,KthNN,0.8317271151916821,0.6831865947174097,0.6219162363740677,0.4939279614092385,0.6239942073709639,0.6450480749754064,0.8350612244897959,0.0,0.6593466413569287
3,LOF,0.7936947070805339,0.6565685253558017,0.6551921973608721,0.4856410833943352,0.6084295228460066,0.6385163907422707,0.7899319727891156,0.0,0.72951625742453
4,CBLOF,0.20077220077220076,0.48985452365174026,0.6729776247848537,0.4820091221352553,0.5204323274876981,0.5267518122547172,0.40236734693877546,0.0,0.6658624701487967
5,uCBLOF,0.8251299668622504,0.6798573637539841,0.5869191049913941,0.4923043714923888,0.6060550264606946,0.5402656996891821,0.8223945578231292,0.0,0.5909546261710856
6,LOoP,0.7736904508558051,0.6717630723594938,0.6890418818129661,0.48221559021716687,0.6243416630064491,0.6239241827687324,0.7869115646258503,0.0,0.7054840487416572
7,LDCOF,0.7414039461283555,0.5982517592855564,0.5424555364314401,0.548642003115791,0.45736338963372825,0.4960129759246761,0.7764625850340137,0.0,0.537665788990264
8,HBOS,0.831316693521418,0.6962037300009467,0.5438898450946643,0.5021960695985134,0.5608933402565008,0.5004838454476871,0.8291292517006803,0.0,0.6076455820219215
9,OCSVM,0.8365305688140334,0.6672978004985956,0.5742971887550201,0.5454792874974191,0.6110238833658289,0.5342283582351948,0.843687074829932,0.0,0.5400073479884882
10,Nu-OCSVM,0.8350408901590005,0.6570418757297485,0.5840504876649455,0.5005912495072921,0.6054416749914298,0.5322294828764829,0.8459183673469388,0.0,0.5400073479884882
11,RED1,0.7814732617882223,0.6994856259269778,0.6695352839931152,0.49887381046230084,0.6169440062598647,0.5079920617752669,0.8195918367346939,0.0,0.40271753107586794
12,RED2,0.7945155504210621,0.7144119410521,0.7142857142857143,0.4971282166788671,0.6108099475562245,0.5143996634738982,0.8418231292517007,0.0,0.6458538974955605
