,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.781898884261089,0.8855438795796648,0.9615605278255881,0.5161045103890984,0.5782505270490076,0.9714171168161899,0.7701632653061224,0.95338807014475,0.6973020635601004
1,KNN,0.9739154227343205,0.9705891634321058,0.9546758462421113,0.46790359817557303,0.6932022674154936,0.9608578460036378,0.9149795918367347,0.9694756636200639,0.7229992039679137
2,KthNN,0.9729729729729729,0.9759538010035027,0.9604130808950085,0.45433301424629763,0.6616538564632299,0.9582366725293754,0.8969931972789117,0.9702901561201732,0.7017384116098219
3,LOF,0.9696895996108594,0.7908422480987093,0.9558232931726908,0.491084332826548,0.7897210322795477,0.5106706648250474,0.9036190476190475,0.9768498272619933,0.7824107525564878
4,CBLOF,0.5946553978050041,0.41623276215721544,0.22432587492828457,0.5082587232764607,0.5176314520261537,0.05128644542266664,0.7652789115646258,0.46322211046486206,0.6540591513073296
5,uCBLOF,0.9476484358374122,0.9639307015052542,0.9563970166379805,0.45388253843121795,0.5862620095308494,0.986713690634979,0.8763401360544218,0.9586412734508243,0.6382021921498989
6,LOoP,0.9757395190466057,0.8221149294707943,0.9449225473321858,0.5241943052349043,0.8092400629557417,0.49273520965489515,0.9057006802721088,0.966436349324354,0.7785842875512828
7,LDCOF,0.8972121728027239,0.9535643283158193,0.9595524956970739,0.40113932841563904,0.5960056927541977,0.9864682263357152,0.7682721088435375,0.9662395591900993,0.5520776437450248
8,HBOS,0.8647736600492506,0.8092397992994415,0.9363166953528399,0.4471254012050228,0.5708099492301045,0.9967448590465722,0.7694285714285715,0.9260014431276512,0.8583589492376463
9,OCSVM,0.7742680813546955,0.9422196976868945,0.9609868043602983,0.5218668468569927,0.5692767588684393,0.9835184252372156,0.7659319727891156,0.9175504001399397,0.4920494764558203
10,Nu-OCSVM,0.7650259933724499,0.9329735870491338,0.961560527825588,0.47946581076261807,0.5686793790039208,0.9827223606154392,0.7576326530612245,0.9126962434949928,0.4920494764558203
