,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.683580093028912,0.8292151850799963,0.8227194492254734,0.425840418942508,0.5284431543665502,0.7691245709661647,0.8020816326530612,0.7660383959417502,0.5296852611597576
1,KNN,0.8706411698537682,0.8542396415159835,0.8330464716006885,0.4261219663269328,0.5273902838632615,0.9883135145244084,0.8323809523809523,0.79351248524074,0.5404065886963443
2,KthNN,0.8339160307664244,0.8483543185332449,0.8382099827882962,0.4185108020346491,0.5258427539298238,0.9833180332179391,0.8192857142857143,0.7916047142169939,0.538543873614598
3,LOF,0.8854771531936886,0.7785982517592855,0.8175559380378657,0.46043320757550166,0.518748236846428,0.6691103027486447,0.7952925170068027,0.7898226702234662,0.5081458575714899
4,CBLOF,0.5079500197610434,0.35008993657104986,0.17555938037865748,0.5243820034911877,0.5199992947385712,0.7508271871712418,0.4376462585034014,0.5516574102418332,0.47456493784826403
5,uCBLOF,0.7991973976225945,0.7939663605667582,0.6855995410212278,0.4520430955196426,0.5331454737839151,0.8317154958192848,0.8077278911564626,0.779862902873136,0.5250162268079114
6,LOoP,0.912838597877968,0.7601060304837641,0.7464142283419393,0.4763969442723877,0.5247519979431363,0.6476740130151623,0.778904761904762,0.7822298508768093,0.48317310636213334
7,LDCOF,0.8623415316328702,0.710435797910947,0.5329890992541595,0.4300260900576234,0.533070567655104,0.8723864383649946,0.714952380952381,0.7746643634932435,0.5149592798971282
8,HBOS,0.6817559967166266,0.8227460633027233,0.7481353987378084,0.4456332000675714,0.49859239248334153,0.8327858669228831,0.7077006802721089,0.5583756067695805,0.5470203906680546
9,OCSVM,0.6783206153284893,0.4496828552494556,0.47619047619047616,0.5218199222929218,0.5303772947778516,0.8301500685256624,0.5409115646258503,0.47222799230331913,0.5242814279590963
10,Nu-OCSVM,0.49378287173562757,0.5255766985389252,0.51061388410786,0.5125570133453461,0.5328829257100822,0.900396987673534,0.4848979591836735,0.38649582367603974,0.5242814279590963
11,RED1,0.712583224394248,0.8372936981286881,0.8250143430866321,0.446665540477129,0.49238254886390415,0.5526951516342077,0.7848299319727892,0.7714774565968426,0.551609821811279
12,RED2,0.7106679232663484,0.8377354918110385,0.8267355134825014,0.44607429096983686,0.49239736270166906,0.5505866657901904,0.7885850340136055,0.7755061879564438,0.5446512767129998
