,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9281914085063692,0.8872794976174697,0.9254159495123351,0.4843741201644236,0.5805145752540727,0.9859897059906386,0.8380816326530612,0.9414549350592557,0.5819594635968404
1,KNN,0.9799349405648617,0.9217709615323929,0.8892713711990821,0.4930363946918933,0.6481750914161649,0.9669027801876627,0.9087891156462586,0.9029387326715353,0.7023231890270039
2,KthNN,0.9730337761833825,0.9231278992710403,0.8961560527825587,0.4954389323723182,0.6286696470657553,0.9671379000292243,0.8992380952380953,0.9012714829229895,0.6778782683240463
3,LOF,0.9194661478126045,0.7475149105367793,0.885255306942054,0.5121534620943371,0.7262279890363094,0.5406936952568624,0.8659727891156462,0.932047273363362,0.7668856775457717
4,CBLOF,0.4722585352506612,0.368140364164221,0.24842226047045324,0.4650975092441391,0.4583252429134618,0.08997660267116318,0.5951972789115645,0.2685748021165872,0.5684428387728859
5,uCBLOF,0.9669534551424315,0.8895515794124144,0.8858290304073436,0.4925202244871145,0.5898078452745699,0.9744780826165466,0.8943537414965986,0.9124666550050291,0.6087110403527035
6,LOoP,0.9256680752743743,0.7589068762030988,0.8519793459552495,0.5222610131951874,0.7469070603810911,0.5279424950067608,0.8571700680272109,0.913417807320593,0.751600024493295
7,LDCOF,0.8688474751466878,0.7620941020543406,0.7773952954675846,0.4723989714135555,0.5689283407519694,0.9197282312225799,0.7927619047619047,0.8627224821795602,0.577332680178801
8,HBOS,0.9116225336697777,0.8591940420966266,0.9185312679288583,0.4660172306999268,0.5769979068688893,0.9925619272489068,0.7880272108843537,0.9506986049766037,0.8060363725430163
9,OCSVM,0.9558872708479007,0.8963362681056518,0.8886976477337923,0.5202104097452934,0.5856367037687742,0.9581662486843301,0.8897414965986395,0.9085745834608825,0.5584128344865593
10,Nu-OCSVM,0.957103335056091,0.889520022720818,0.8921399885255308,0.5238282936351522,0.5813744194984252,0.9610102101835836,0.8915374149659864,0.907218918091573,0.5584128344865593
