,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.01658212187122335,0.26667785871319366,0.18311153494027813,0.017224892128564862,0.04063526864354801,0.09585125180389913,0.26568936534179743,0.06902397313891134,0.12930760482108197
1,KNN,0.09996609689598468,0.27960109961645796,0.07457063548405099,0.016075480942671274,0.05771571234571069,0.2490454440369525,0.26493176397207185,0.09200968610497422,0.10651572440537245
2,KthNN,0.05732197896320906,0.28521551867542405,0.1800742647732932,0.016075016158391454,0.0506372224622866,0.2386026462816403,0.26350794572160163,0.0927278841743446,0.10780693659532074
3,LOF,0.022147189084273218,0.1961213256991296,0.04716598061051646,0.016106002958847433,0.0662480672502532,0.03751579347015323,0.1552447644235423,0.056371290448707034,0.07640384448273714
4,CBLOF,0.0012528304114359373,0.07704320486825743,0.018552206146923503,0.01807977067409931,0.026937350666577844,0.017279153126598466,0.05735388375396308,0.011850973868483987,0.07048053927961842
5,uCBLOF,0.018976630629862636,0.25935505201664655,0.175385375650536,0.015680946273092126,0.04258315886115212,0.26670689707187406,0.23059861544813476,0.09343605906319953,0.0957352142693998
6,LOoP,0.0103440754158217,0.18903171483430659,0.03058080783242296,0.016349847920476862,0.07286679286696196,0.03472433279135621,0.12481005392929923,0.049902744148441446,0.0658625412712841
7,LDCOF,0.021649310501588814,0.27181165013811576,0.07545661509804935,0.017247448990650227,0.038986615037937884,0.07536347075706094,0.12789962139604075,0.04932754346576126,0.06382189969085561
8,HBOS,0.005603691021482471,0.3211130474504019,0.1921381669833245,0.015157279827961615,0.036124655648318196,0.10806857154261582,0.18126209537225205,0.04536851915654804,0.1196133215453711
9,OCSVM,0.016691339637203182,0.24677519893778946,0.045983919433910975,0.01827465666639315,0.04338219448497637,0.23313826927196077,0.2714527810365621,0.08725994919341548,0.08530834111897978
10,Nu-OCSVM,0.01748608687225379,0.23674387955855442,0.04876420494913958,0.025564085365305113,0.04289785802151513,0.22262476855428628,0.26061444606047296,0.08435407804258181,0.08530834111897978
11,RED1,0.012571934593360222,0.31854389864504273,0.18752557446482865,0.0157391802769512,0.04158084534595234,0.23647036483953365,0.27343602234470915,0.10201993438193108,0.08913450947087065
12,RED2,0.012707559619556722,0.32647271279808315,0.18802915807942155,0.015727514484216505,0.03897525529191292,0.13655355002926844,0.27739263882959736,0.10217721295632021,0.09794867401792623
