,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7074453531146445,0.8900249297863612,0.9581181870338497,0.4561349175066164,0.5262717414690149,0.9203594979320002,0.7671836734693877,0.9403452573577643,0.7067534137529852
1,KNN,0.9738242179187061,0.9723878948531035,0.9655765920826161,0.4637695440809355,0.5785347937154958,0.9742301213792168,0.8810884353741496,0.9250502908120873,0.6065164411242423
2,KthNN,0.9730337761833825,0.9766164915270282,0.9667240390131956,0.4509732154588284,0.5663005584286775,0.9733891628301723,0.8541768707482994,0.9231589189661958,0.5870099810176964
3,LOF,0.9811206031678473,0.828994288238821,0.9644291451520367,0.4867954276704769,0.6620336877272013,0.5244118755393578,0.9037278911564626,0.9382133642366729,0.648686547057743
4,CBLOF,0.691758124828991,0.4661554482628041,0.2954675846242111,0.48056384556187476,0.512038684258922,0.799213668340889,0.632829931972789,0.2186283727642454,0.5929716490110832
5,uCBLOF,0.9468275924968839,0.9649720723279371,0.9713138267355136,0.44446947087861555,0.5453329101764761,0.9808480773704287,0.838108843537415,0.9365078497397997,0.5574184067111627
6,LOoP,0.9818806432979661,0.8449304174950298,0.9592656339644292,0.5236124406404264,0.6796126915141874,0.4843084258665458,0.9171972789115647,0.9167249748545939,0.6888126875267895
7,LDCOF,0.9399568297206092,0.5712076745873962,0.6962134251290878,0.42086641515100326,0.5479218166373849,0.8659049986406974,0.8405714285714286,0.9332444133467442,0.5605890637438001
8,HBOS,0.7808044264737177,0.8509893022815489,0.9414802065404475,0.44273326200799595,0.529715972698348,0.9754225112215709,0.7877006802721089,0.9435485634320199,0.7373357418406712
9,OCSVM,0.7508284437418296,0.9407680898734577,0.9672977624784853,0.5403175854496312,0.5304230474971254,0.9653208425280531,0.7306802721088436,0.91267437792452,0.5065458330781949
10,Nu-OCSVM,0.7506460341106009,0.9408943166398436,0.9678714859437751,0.578861422377386,0.5278216427324148,0.9715129941421323,0.729278911564626,0.9085035203568461,0.5065458330781949
