,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0030389937647099753,0.3492917532634657,0.23885099910493565,0.01417582941529616,0.03225008421048131,0.04635713046953029,0.22986979990563078,0.1460841509937249,0.041224382707062204
1,KNN,0.004827986328429627,0.34556870310186977,0.2985192089443058,0.01368887474006667,0.03466242569266607,0.38584693211505416,0.2700062032663274,0.10830799787449079,0.03994884443469977
2,KthNN,0.004338114418178178,0.34610909948992197,0.30050295068349375,0.013665142697419058,0.03477060867700321,0.32497048277065094,0.2599957140036151,0.11012753371468527,0.03967781089352574
3,LOF,0.008628535844342403,0.30184564261316493,0.3346297564032179,0.014081903356089312,0.03478717405860979,0.09439709467173425,0.25316018727489387,0.11685577269378289,0.039451677582189114
4,CBLOF,0.0017280006384004392,0.10073096506191362,0.026402366159622402,0.01770081074531786,0.03361634577010683,0.17078200665799986,0.05069990370753134,0.011816913422173968,0.035806395961928805
5,uCBLOF,0.003371778246120436,0.3545643008963405,0.269927795294984,0.01398146890080663,0.033754034253728096,0.0767767356734016,0.27458348295883045,0.09560567144348789,0.039539390070620066
6,LOoP,0.00719800603686298,0.28495005563209086,0.30501008826835385,0.013594898335455411,0.03562950689563768,0.05717620363945011,0.2694460629577073,0.11745282779906295,0.041706711705587186
7,LDCOF,0.0027464316787896162,0.285346204915726,0.384765625,0.017720028930423404,0.032391816585014326,0.057882504044825964,0.2376586655039017,0.043264057617709316,0.03504442192798489
8,HBOS,0.003426367218700891,0.3328368527349353,0.10272410171210605,0.012746097747781626,0.0322697930239541,0.0388748821249114,0.20525412440063914,0.1450265275155428,0.028664698781946867
9,OCSVM,0.005259316752093234,0.36259491471066385,0.05275202314427063,0.018895689143139136,0.03397742263611009,0.1373720966178758,0.3452306884133741,0.012453073366015215,0.03401181292941355
10,Nu-OCSVM,0.00526517466700244,0.35959155125928605,0.04570789955988595,0.016745923028930153,0.03455511480521149,0.15005205954078973,0.07224315734691662,0.012978750595408992,0.03401181292941355
11,RED1,0.0035635468086925547,0.3466727787107799,0.25947805126686985,0.013037039927640662,0.03157305735696784,0.027592983991070633,0.24019666227090342,0.09477326804382888,0.03777049649918522
12,RED2,0.0031629894844063845,0.34863358338684586,0.26020024446970696,0.013385077184549829,0.03158763077851526,0.026980595810671772,0.2323656001031159,0.1276631047884648,0.0407136911449575
