,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7074453531146445,0.8899618164031682,0.9581181870338497,0.4561349175066164,0.5262717414690149,0.9203594979320002,0.7671836734693877,0.9403452573577643,0.7067534137529852
1,KNN,0.8604566321101755,0.8636435356117265,0.8995983935742972,0.4300448598832517,0.5133114746927203,0.9781497026477991,0.823700680272109,0.8100428565181265,0.583595615700202
2,KthNN,0.837564223390995,0.8607087632932564,0.8973034997131383,0.42683521970080895,0.5116863325245146,0.9759872014088846,0.8136122448979592,0.8083920059474352,0.5689718939440328
3,LOF,0.9374638980938194,0.8050112026255167,0.9059093516924843,0.45920378399684664,0.5437543576675309,0.6458912247149987,0.8270068027210884,0.8380526522936983,0.6100838895352397
4,CBLOF,0.33742741616757366,0.347660071318123,0.3459552495697074,0.5623721305629071,0.5206906908615974,0.8570913678048373,0.36741496598639456,0.41727708050903045,0.5332925111750658
5,uCBLOF,0.7901985224819871,0.8485909937202184,0.8858290304073436,0.4296037689809861,0.5139009036273648,0.8385949678544702,0.8156054421768708,0.814858748414746,0.5450150021431633
6,LOoP,0.9423889581369896,0.8187383634699739,0.9099254159495124,0.46521482065431613,0.5529404714717288,0.6223003576991174,0.8431020408163266,0.8507565487383566,0.6413446818933318
7,LDCOF,0.49680783145350077,0.5246615544826281,0.6313826735513483,0.4715730990859095,0.5205141244223997,0.844468173849058,0.5214285714285715,0.7631904053876766,0.5231859653419876
8,HBOS,0.7891040646946159,0.8445517371958724,0.9472174411933448,0.44361544381252693,0.5304040489594268,0.9859897569485583,0.771374149659864,0.9490094896575851,0.7398867185108078
9,OCSVM,0.8346152676861338,0.858042222853356,0.7306368330464716,0.507629934117912,0.5105139469911226,0.8137856205413412,0.5513469387755101,0.5272772991647353,0.4962084379401139
10,Nu-OCSVM,0.8557747849086432,0.642304900754205,0.6792885829030406,0.513786436924001,0.518037047092716,0.890258425446143,0.5256802721088436,0.4548229982070232,0.4962084379401139
