,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0031382187351170366,0.5138195405887784,0.4626998778069602,0.015848241560326447,0.03255415054982048,0.765909988133893,0.15791793623437905,0.6459361573674745,0.07258448164780645
1,KNN,0.045490817241948436,0.681929824878046,0.3132125334605892,0.01576824826789403,0.044358423758847486,0.5426418739536013,0.31915601610187744,0.5424580999122968,0.0627312990639718
2,KthNN,0.02583627752642763,0.7013551741013543,0.3331023254466895,0.01563259010165355,0.041165535525025373,0.5710317451197534,0.2658169062734842,0.5213713066100468,0.05768349590503418
3,LOF,0.15756261213360828,0.30741064350153147,0.41433274798321634,0.016942900013801714,0.03757496140244064,0.07321597383444906,0.4133974020241192,0.49543589787752307,0.08058753722557387
4,CBLOF,0.003996339428963097,0.13557607118311948,0.01497174733770589,0.014912779869675687,0.03607612932579033,0.32700111863039405,0.06653522188318786,0.009899699377125242,0.15333181672568946
5,uCBLOF,0.011912236970125209,0.7474715238905864,0.3622620586391314,0.015835434032925713,0.04015498841663746,0.27106601735561653,0.2534050639995094,0.5575520684942158,0.05602397534838379
6,LOoP,0.15713789081412946,0.2845460168124053,0.40814331084537847,0.017754781953926956,0.04016511147319605,0.048454925905111045,0.4158448303314844,0.3458269881982068,0.08296375668256678
7,LDCOF,0.17505865189315886,0.5071491384267526,0.37457453487987835,0.013942088112011558,0.038712574740722094,0.054995906276430834,0.12945658920260833,0.31910503265624934,0.05276544520531523
8,HBOS,0.003969154736818764,0.3265159906261777,0.40939104828534284,0.015945379205681988,0.032835074529121225,0.848941728416177,0.10341180923050017,0.567015056725764,0.0854799195013566
9,OCSVM,0.005558014564834835,0.6104778833093712,0.2979857091667561,0.017002527200016673,0.04021085308821106,0.2432836038191385,0.23345337462622637,0.5529450702915139,0.046821391390756334
10,Nu-OCSVM,0.0065665334648607795,0.6119622566556815,0.3100048547847233,0.009532380383513834,0.040845368672577785,0.3322992618785498,0.2531858008193184,0.5524783282881648,0.046821391390756334
