,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.6674672422703918,0.9011328852283127,0.9586919104991394,0.4821405109146536,0.5339100184617802,0.991086109457102,0.7677551020408164,0.9480638037346395,0.5871379584838651
1,KNN,0.9775940169640956,0.9504875508851652,0.934021801491681,0.4896249788839462,0.5438937918693177,0.9916053451800306,0.865047619047619,0.8886605151528404,0.6709374808646132
2,KthNN,0.9611771501535281,0.9494461800624823,0.9380378657487092,0.4878934624697337,0.5392919470973582,0.993339086482469,0.8433877551020408,0.8877202956225128,0.650196558692058
3,LOF,0.9882041771805551,0.809839376439774,0.9437751004016064,0.49740037915047774,0.5463362338325513,0.537015450696047,0.8813469387755102,0.9267886036646696,0.6922913477435553
4,CBLOF,0.7854254704648405,0.3623023762188772,0.13884107860011474,0.4858663213018751,0.5362971944878909,0.8934115231653429,0.535156462585034,0.26445314208247694,0.6447100606209051
5,uCBLOF,0.9371598820417718,0.9423143677616839,0.9236947791164659,0.49002383767854796,0.53637726174662,0.9730770965298421,0.830639455782313,0.9006209822014256,0.6303741350805218
6,LOoP,0.9908491168333687,0.7945028243238978,0.9196787148594378,0.5057764138371156,0.5589486962483663,0.5628501223117469,0.8871292517006802,0.9275702978090699,0.7136011266915682
7,LDCOF,0.898945064299395,0.8643062261352519,0.8439472174411934,0.4864528783527601,0.5377776297323935,0.813726636749272,0.6942585034013605,0.8797721607556741,0.5670565182781213
8,HBOS,0.7688869972334539,0.8243554545741425,0.9627079747561674,0.4578992811156784,0.516760462530978,0.9953984998498016,0.6997414965986395,0.9443138583985656,0.6649733635417303
9,OCSVM,0.8362873559723955,0.9252421976080027,0.9139414802065405,0.5382904442817726,0.5279822794138653,0.9512628264268791,0.8162993197278912,0.9059889797524818,0.5707452084991733
10,Nu-OCSVM,0.8574164715897,0.9237590331029695,0.931726907630522,0.48955459203783996,0.5361719882658782,0.9760296493560067,0.7953197278911565,0.9106955437967377,0.5707452084991733
