,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.683580093028912,0.8292151850799963,0.8227194492254734,0.5008352572404602,0.528443042774552,0.8454859563795112,0.8020816326530612,0.7660383959417502,0.6044455330353316
1,KNN,0.8707627762745873,0.8537662911420366,0.8273092369477911,0.4954858569363891,0.5273590102057578,0.9918769508921076,0.8322448979591837,0.7891503039314296,0.6839066805462004
2,KthNN,0.8354057094214574,0.8484489886080342,0.8307515777395296,0.4955797060645306,0.5257967780265536,0.991781812456001,0.8185442176870747,0.7868489526391744,0.6677490661931296
3,LOF,0.9032316906332655,0.7757897062072012,0.8175559380378657,0.5085825027685493,0.5184756454927546,0.6355886799019672,0.7925850340136054,0.7883686097870294,0.696651766578899
4,CBLOF,0.4701912260967379,0.3523304616743981,0.3861158921399885,0.5142650674775231,0.5164110540355238,0.8506838680220454,0.5000544217687075,0.4675077622775178,0.4813177392688751
5,uCBLOF,0.8040616544553552,0.8418694184101739,0.7997705106138842,0.5017174390449912,0.5339787591326892,0.9271222763310399,0.7985170068027211,0.7962948790833952,0.6682664870491702
6,LOoP,0.9141762685069772,0.7644292972324781,0.7607573149741823,0.5111539688796289,0.5245601991961806,0.6544244850765911,0.7872789115646258,0.7799995626885906,0.6948955973302308
7,LDCOF,0.8289909707232541,0.7539209189308593,0.5415949512335054,0.5216791486007096,0.5315456072033081,0.8828066195356867,0.7323673469387755,0.7651309747671317,0.6208107280631927
8,HBOS,0.6846137476058736,0.8221464861623907,0.7412507171543317,0.48950766747376917,0.498774315338454,0.952956565762342,0.7063265306122449,0.5634976166528185,0.5980564570448839
9,OCSVM,0.7363876812695711,0.8103758401969137,0.8083763625932301,0.4901693038271674,0.5223743909308737,0.7077668277701298,0.808517006802721,0.7817706738968819,0.5826893637866635
10,Nu-OCSVM,0.7307937859118961,0.8003408122692416,0.8307515777395295,0.5591671828368715,0.5314667116605604,0.7531039870240753,0.802734693877551,0.7757357764464073,0.5826893637866635
11,RED1,0.712583224394248,0.8372936981286881,0.8250143430866321,0.49351502524541546,0.49238254886390415,0.6311481303411861,0.7848299319727892,0.7714774565968426,0.583208621639826
12,RED2,0.7106679232663484,0.8377354918110385,0.8267355134825014,0.49335548172757476,0.49239736270166906,0.883289191035381,0.7885850340136055,0.7755061879564438,0.6020108995162574
