,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.007498564685899365,0.21669810908175097,0.16495980345303457,0.015183348408647698,0.04535523372560939,0.034871501542308905,0.2715252417125091,0.03793187371175286,0.12575028551659337
1,KNN,0.015833539018496885,0.2353501973612046,0.1654467881767453,0.015424157026924177,0.06721440592885963,0.046848336232893924,0.3099992217549622,0.03311392929448718,0.11314701894143302
2,KthNN,0.014578363240628386,0.23617426008574327,0.1647809285612653,0.015530479894646076,0.06183671410480038,0.04135833206162811,0.30650376785948275,0.033370513448647596,0.1085134397226874
3,LOF,0.02797551018428151,0.1975277060596244,0.16558117119844767,0.015187289672738684,0.08003045827050209,0.08024765965230159,0.24465178438394,0.03110442645904695,0.09203702167868794
4,CBLOF,0.0014500166456712733,0.09594161258075207,0.02164451528614949,0.027729743463595146,0.027314588991733352,0.02342229139240288,0.04791582102451754,0.013645028071870506,0.0660936546070006
5,uCBLOF,0.011243222993410623,0.21223515491102846,0.1641647279926698,0.01565032205463579,0.05351175781362577,0.02612725020313996,0.29414208419198196,0.03439851052786657,0.10062492894003879
6,LOoP,0.03033566488285922,0.1909837637310592,0.1640660932394676,0.015145106086597786,0.09155608841598759,0.0843401655216509,0.22829470855825046,0.030087859473701312,0.08539752863450058
7,LDCOF,0.006165462191881038,0.18985885258981067,0.16112541670547617,0.01490761426234016,0.060159265935362416,0.03221742928968533,0.20678448168891178,0.029137708716007432,0.05765847537522578
8,HBOS,0.008037741933875919,0.2577161192583846,0.17440727111598078,0.01582334190203217,0.05132380906729006,0.05870032590017687,0.27647432387213033,0.05301068954526633,0.14011819781554574
9,OCSVM,0.01977764434815823,0.14847889793655486,0.06443209472329885,0.34543133598236125,0.08143442311294322,0.021132799565310577,0.06777900743568088,0.04145253728071261,0.11091768552598782
10,Nu-OCSVM,0.019816476982845114,0.09790693242064454,0.025136871546175388,0.5081521739130435,0.08145216005877937,0.02019264930861239,0.06690428139393885,0.01458409913832447,0.11091768552598782
11,RED1,0.009581209070906852,0.25962629715856383,0.17124981383977236,0.015613481649826459,0.06543021086703851,0.024688435383731257,0.28069213515650693,0.040743856950127964,0.04456565837128272
12,RED2,0.00984312603872054,0.2664862128361499,0.1747768831140635,0.015579342537880394,0.044679747383998804,0.025597943496803437,0.30097564244332525,0.04574256993056694,0.08727750304784299
