,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.004126882018987506,0.473329993305843,0.37906093522452966,0.016284562633038673,0.03752255771607997,0.2980907720894523,0.14838797539435794,0.6160121037252442,0.1832962841616011
1,KNN,0.03727303728068168,0.6566410950770138,0.2627805392110446,0.015599159161535392,0.06363733503031849,0.14335059027005165,0.35577155333338006,0.6005469315407368,0.09738384186215582
2,KthNN,0.04497983990547972,0.6614069132574835,0.269434974862671,0.015354720374315598,0.054737897488948445,0.15746142914683392,0.3409820432663824,0.5141099013142785,0.09079982326075574
3,LOF,0.031019308915637672,0.24567920723558787,0.3795995775783962,0.016893448171747795,0.07224990261197818,0.07855675624934395,0.2889687773537368,0.6244965733949879,0.07732622313199512
4,CBLOF,0.0012146514321146236,0.07306028512716842,0.018637998221709806,0.027353739772232138,0.027031247381491083,0.028594309782054936,0.0638622827446669,0.04530194096381549,0.0380789095669405
5,uCBLOF,0.018124167511478318,0.5476610583161869,0.2244272340160177,0.01478398395045227,0.04304868347569728,0.6254796888052511,0.27044524941964204,0.5740712166626096,0.07514778212484705
6,LOoP,0.026826733079113575,0.2571549578911897,0.3248258626480484,0.018544960920786512,0.08449751975974476,0.07708770416132982,0.23518775554852858,0.27054812347417473,0.07109297479763366
7,LDCOF,0.004269711380780352,0.3267252999159083,0.26918811002661935,0.01675466978686164,0.03914739774747195,0.9374996605727581,0.15971899410104243,0.3816394795974983,0.04946232866517264
8,HBOS,0.004218797838873496,0.3258109154338436,0.3815493738287855,0.015973859377173383,0.03582357994497592,0.8762433667866047,0.11883726491403226,0.5731026895184814,0.2109877270351925
9,OCSVM,0.007144232152723679,0.5153939918888738,0.2683308982428808,0.012313956630226889,0.044415558012051964,0.6299818418196228,0.2852574675488939,0.6142705295469755,0.06259276340352782
10,Nu-OCSVM,0.0075400451369416754,0.4734209284166893,0.2719405407529816,0.03911204846395887,0.04476917204979436,0.6292282072269824,0.27847758513517157,0.5986143106873737,0.06259276340352782
