,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.715927400966771,0.8259332891539651,0.8594377510040161,0.4351033278900839,0.5281123677858004,0.7330176999786231,0.803891156462585,0.78755411728692,0.524517788255465
1,KNN,0.8596965919800565,0.8502634983748304,0.882960413080895,0.4275625504439064,0.5281904821845607,0.9871342463463808,0.8377687074829931,0.80031267765776,0.54145735105015
2,KthNN,0.8301462317210349,0.8460980150840985,0.8858290304073437,0.4254087129530567,0.5260363660467509,0.9825872966492366,0.8240068027210885,0.8005258669698693,0.5411309778948014
3,LOF,0.9441218496336607,0.8233140837514594,0.8841078600114745,0.4602548942320326,0.5217589889586414,0.6672896272351736,0.8424489795918367,0.8023571084969607,0.505244014451044
4,CBLOF,0.4348341592436081,0.434314746441983,0.19850831899024668,0.4947726035625129,0.5255342020547211,0.8419066720987809,0.43673469387755104,0.4254056063322692,0.4793313330475782
5,uCBLOF,0.8238530994436506,0.8132790558237875,0.8118187033849684,0.42434821780505655,0.5266206338514773,0.8275394433407807,0.8155238095238095,0.8025156338828879,0.5162182352580981
6,LOoP,0.9351533760982579,0.8151093439363817,0.8628800917957544,0.4652242055671303,0.5288634237808797,0.641081637899647,0.8395918367346938,0.8088785148904535,0.4872904292449942
7,LDCOF,0.7611041863010366,0.771876676449241,0.8049340218014917,0.4417196914240667,0.5253911411129918,0.857412096951519,0.7678639455782313,0.7603150828705122,0.4876357847039373
8,HBOS,0.715684188125133,0.8403862539051405,0.812392426850258,0.42587795859376465,0.49843999966076036,0.7770230740008361,0.800625850340136,0.7822025189137185,0.5276823219643623
9,OCSVM,0.8791536193110995,0.5441951465808325,0.49971313826735514,0.4764157140980161,0.524268079242817,0.8241648570235429,0.44606802721088434,0.513321598810513,0.5201518584287551
10,Nu-OCSVM,0.5794241935974219,0.5826627536369087,0.41939185312679284,0.49644311804343333,0.5295194312914676,0.8963916442260728,0.5090340136054422,0.3430544015393362,0.5201518584287551
11,RED1,0.7323138661721339,0.8434472529899966,0.8565691336775674,0.44096889839893383,0.4924385819960148,0.5663604860060635,0.7959591836734695,0.7552641360913106,0.535293613373339
12,RED2,0.7155321800991092,0.8404809239799298,0.8600114744693058,0.4451545695140492,0.4925148830248038,0.557294001972581,0.7984897959183674,0.786570166615647,0.5460522931847407
