,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.00700569653750881,0.39703189461962496,0.3113739660848813,0.01407948096141787,0.040869275709529994,0.23638812769233694,0.27118291404839767,0.6294538102186988,0.10539036381303044
1,KNN,0.020080446093110382,0.2372978312409362,0.1778790035678612,0.015760496051742887,0.05396720519471855,0.1318383169032781,0.31465126739104016,0.08196216252915836,0.09243595271512829
2,KthNN,0.015463302114479898,0.2369353619645525,0.17580365336432918,0.015801877515816538,0.051122832999303515,0.1516068201624963,0.311674864631642,0.08121270483970368,0.09177431804393263
3,LOF,0.005466413712749124,0.1606197072070657,0.0710250737492346,0.015492667785915432,0.05123335464832287,0.03186579577557237,0.13184659916668162,0.15451246859963946,0.05813920543918087
4,CBLOF,0.0014869636829883575,0.1105333227814734,0.09078231269985222,0.016537987019753,0.02881456528910116,0.01187326833715523,0.04526508553033545,0.024325237472612372,0.050829775859076144
5,uCBLOF,0.01535078070990093,0.23571818551070894,0.17574010246360752,0.016455844598200493,0.044342318278220626,0.6334612848011256,0.2835809505762022,0.0525883819597846,0.10267210184971254
6,LOoP,0.007674268516793987,0.202503716150117,0.048446135422291356,0.01525404546162235,0.05778544294146014,0.036411593478800006,0.13189906321169032,0.2154240574190171,0.057207851816144996
7,LDCOF,0.021158190292949047,0.19631886565402737,0.09675276360544217,0.013741302804515495,0.04210731875693262,0.7664212870576208,0.14494470098724194,0.051405288223563605,0.06790638798694718
8,HBOS,0.009319533311320828,0.36517552403392767,0.18797503412165067,0.015730394254340398,0.04055097023852623,0.9173831792910944,0.16562097093776204,0.5905357608251288,0.157066236302757
9,OCSVM,0.028690561714352133,0.105387764008428,0.02767920841429804,0.34543133598236125,0.07156232797328035,0.6419536009633415,0.0504459005251284,0.09149948611577939,0.09032629154210726
10,Nu-OCSVM,0.028623881137521776,0.10563295527466396,0.03510524402403479,0.5081521739130435,0.07035318096527882,0.6408545981578954,0.05349305623051305,0.019012194406207064,0.09032629154210726
