,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.004126882018987506,0.473329993305843,0.37906093522452966,0.017290423866248086,0.03746544793549986,0.2980907720894523,0.14838797539435794,0.6160121037252442,0.2632164423129278
1,KNN,0.012844811435171589,0.2587444058014149,0.06852404563212147,0.01558769447647992,0.05331978419812438,0.18282104998474863,0.2667688590421471,0.6005469315407368,0.11096228319049499
2,KthNN,0.03126738398662547,0.25446684217029936,0.0678511422778535,0.016401529560075935,0.04794779312120742,0.19914374931519066,0.2610399072137183,0.5141099013142785,0.11959173497405673
3,LOF,0.0028864751103157243,0.22369447934458694,0.05559369777995718,0.017069658423333803,0.06506186043426476,0.06446706229139329,0.13532769875640915,0.6244965733949879,0.03916506098627416
4,CBLOF,0.0010160106612338649,0.0783736484653716,0.039092012492776884,0.019869000637891553,0.026300135869791453,0.36992422636927064,0.05203279668021947,0.04530194096381549,0.023151760298940643
5,uCBLOF,0.011928163977194631,0.2462946125602117,0.1744699219275066,0.01682676739411457,0.040741298743185377,0.27004771354762874,0.2617137627930593,0.5740712166626096,0.09154309351826714
6,LOoP,0.0026295099216055917,0.20514176407016907,0.03769607732040768,0.01571165805379702,0.07428768858091112,0.05475487241498564,0.11508106749127894,0.27054812347417473,0.038963703963051224
7,LDCOF,0.004130327690361806,0.30211038817743446,0.013671875,0.018250348144873696,0.03787000731628419,0.07445636096819644,0.13510682478454175,0.37454143818888697,0.15578295100292042
8,HBOS,0.0038895824150875463,0.3143906297178545,0.3980938708610587,0.016183414337713187,0.03556885286923615,0.9174645701911542,0.11311342847895141,0.5731026895184814,0.17066690129864343
9,OCSVM,0.010151177299431675,0.11663789358291544,0.0460529952998453,0.016993788076472047,0.06384295068500731,0.048628487255262504,0.0558994080417969,0.6142705295469755,0.14235258659447214
10,Nu-OCSVM,0.00895635745887664,0.11082840037381159,0.02930252729140204,0.015412613586671564,0.06441015062808461,0.0729208684793052,0.05833595331484223,0.5986143106873737,0.14235258659447214
