,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.024374312422036224,0.13691833113300936,0.17881586772961383,0.017572040595547123,0.06776369341072982,0.07592346946988576,0.1245303382435767,0.06552138697393663,0.06402358849105363
1,KNN,0.020966231955670565,0.1293119147088724,0.18572787675460575,0.019084275835390217,0.06551720667694003,0.08027430922080443,0.132628895192195,0.04824466246563243,0.07553618305282438
2,KthNN,0.02254361527764419,0.12881338430614694,0.18559776061778904,0.018907172292605152,0.06448451660737145,0.07085222754390375,0.12774990812922712,0.048179282008848384,0.0721881563412815
3,LOF,0.0023416087615033224,0.08923501779074712,0.04222879527939897,0.019367424530296405,0.03990763948867101,0.11094667655853602,0.09404090474738136,0.05186760503826912,0.06570190386232398
4,CBLOF,0.001343589197507462,0.09181957374543645,0.09654538183097436,0.02249242483240662,0.025533083477785795,0.018278431197231968,0.047264981157417806,0.030542144914685196,0.08171879074475041
5,uCBLOF,0.020476462200827557,0.13119238941751876,0.18463723822532424,0.018970601831603387,0.05668027605878892,0.06424346501833197,0.12899700982329024,0.06683774087184903,0.05819153475005131
6,LOoP,0.007554850274806766,0.08976028944752804,0.03637240263091114,0.019678479290068787,0.041638216653433986,0.12552143269252106,0.10065744418630158,0.03847942619530666,0.06397373215836814
7,LDCOF,0.00880386690723847,0.12892621000271143,0.06931702344546381,0.01697154792752191,0.05092941220883862,0.04482610397839902,0.28080357142857143,0.019781778572659642,0.0431697513426474
8,HBOS,0.013359430799447323,0.16262248876835933,0.18374906734428476,0.01855792525098239,0.06351960400368292,0.05404686458996797,0.15579721274792996,0.014457624362270884,0.09818802532899225
9,OCSVM,0.08965625277180675,0.1538967620862111,0.11258187105680265,0.34543133598236125,0.09243434267704562,0.09203399057661278,0.07846924950254375,0.017587352811567043,0.07568189662852781
10,Nu-OCSVM,0.09085209908360745,0.15343643564706347,0.11319423079895388,0.5081521739130435,0.0902746953134891,0.0926318680574079,0.053375212368392336,0.013884781634510616,0.07568189662852781
11,RED1,0.015380589516295541,0.13933733755390204,0.18567366841687405,0.01857811957054673,0.08020884331394558,0.06844408392591853,0.13765800459267544,0.06208704537001998,0.04245318172837702
12,RED2,0.021634994418026444,0.14591369263216072,0.18560772971172307,0.018556504239326414,0.054480927979408345,0.062218416052725295,0.1424854539956637,0.05972156413272495,0.06283958260706976
