,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0036877323050219855,0.39750577981637214,0.04632528360945916,0.013575503786223976,0.0,0.08030052454443198,0.19650471232759975,0.0,0.047549394027710946
1,KNN,0.004994409984590832,0.4029927495001039,0.05712312551457134,0.015125011217687123,0.0,0.083186877755912,0.244853213161854,0.0,0.0712035815833047
2,KthNN,0.004200555494965563,0.4006747828671122,0.05706400765783333,0.015132614002291636,0.0,0.08318180537010905,0.23227226736659637,0.0,0.06972029755063877
3,LOF,0.00885546272488508,0.1989550023353957,0.02502414745691927,0.01734517296229876,0.0,0.025332274787122386,0.12921852573088438,0.0,0.061575133061625154
4,CBLOF,0.0011978051602335082,0.0841880323422635,0.02452556843658304,0.019245918984759015,0.0,0.036036124824091846,0.05317802047065844,0.0,0.049479901042158825
5,uCBLOF,0.0037613382830448583,0.4468827113101403,0.057013673342007104,0.015357358013823577,0.0,0.06984507291302276,0.2007653453715821,0.0,0.05930563819279525
6,LOoP,0.019598906643926408,0.2160453465472663,0.022721715728562564,0.01822101753252539,0.0,0.022524180637961935,0.12818551619182267,0.0,0.07196430756351341
7,LDCOF,0.004431173102418174,0.347957503758554,0.031100467762504184,0.01306876733226461,0.0,0.07425213929415164,0.17083792548031332,0.0,0.050819763825486794
8,HBOS,0.0029215029661214384,0.34275213428372986,0.05550272330396177,0.015515934511445378,0.0,0.09524131610790319,0.14275925877030157,0.0,0.05653370540966817
9,OCSVM,0.007128172607264222,0.43877412997674803,0.02374112358633605,0.34565674974185123,0.0,0.05665629954633664,0.07748359312166264,0.0,0.07295336061991818
10,Nu-OCSVM,0.007297705546271238,0.1508376999753379,0.03268353526127772,0.5081616789739604,0.0,0.05447453871435354,0.059391642759745684,0.0,0.07295336061991818
11,RED1,0.0029575989895285716,0.3833307157585354,0.059002047966947926,0.01510155378639896,0.0,0.0,0.20872327422621878,0.0,0.0425449735996252
12,RED2,0.0028030400018641257,0.39676519188464565,0.05881905058137222,0.015069045673449105,0.0,0.0,0.20376181513200137,0.0,0.08118248602607354
