,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.012091901823287548,0.27970510542944127,0.299576894644735,0.016522768739632366,0.04992078842661496,0.24979258125368642,0.11645906766637087,0.3913911042036048,0.04726855414847864
1,KNN,0.03799479843404207,0.6540653326437988,0.3673867018240884,0.016022913270790314,0.0952870807233471,0.23093952295996184,0.2403622508386837,0.32319576888444485,0.05051905001628258
2,KthNN,0.03636039135313502,0.7087947948996771,0.37978990909331467,0.015717759805166622,0.08069885855753083,0.23335226979508772,0.21671202888944247,0.23115024357212935,0.04792554827976097
3,LOF,0.03576671719847429,0.3385684876933672,0.35996206727078023,0.01641399361209418,0.1046621301808851,0.026642660421856944,0.23794311276052335,0.26948532935307795,0.07092637525826484
4,CBLOF,0.013770768325592602,0.10344377148316464,0.015537098171989368,0.01674974403401342,0.042253346154561854,0.014583959514526504,0.1392377430386761,0.015952518375415524,0.059513202487800024
5,uCBLOF,0.013102807158064987,0.27864768769327414,0.3691980146213556,0.015710326133566214,0.05070143243227135,0.8938979564495744,0.2008281247293221,0.45550206435925866,0.041894479464408795
6,LOoP,0.03017664447641992,0.3331256441103345,0.36236275826840314,0.01697175861401239,0.1301637207211021,0.038488584957354695,0.2513622935654127,0.12248673530531425,0.07416112605054018
7,LDCOF,0.05087583479927281,0.44933170573085573,0.11529017857142859,0.009596979470215093,0.05390503933201665,0.22679519642851784,0.18919456029453433,0.19653709254079374,0.03625551801607348
8,HBOS,0.009369474116315321,0.19862825128953898,0.2588762619721294,0.017572610741794836,0.04687253062111304,0.8958671358446741,0.1334636049592907,0.318976136897092,0.08335451524819863
9,OCSVM,0.0037629212279183186,0.5505920290506736,0.37613429570085916,0.04028191969515599,0.05027038177388514,0.8939645077210528,0.11882351224332317,0.4667699517415224,0.033709342464166556
10,Nu-OCSVM,0.0042781439981955105,0.5362681753534988,0.37830639260979815,0.015176671089074431,0.049886148739947345,0.8938162962539521,0.12553865267138856,0.45339711034113034,0.033709342464166556
