,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9296810871614022,0.4651771908233141,0.6609294320137693,0.5455449818871183,0.642626569876231,0.7046527892963909,0.6676054421768707,0.3337997988367517,0.5246831179964484
1,KNN,0.9131426139300155,0.44037363122850204,0.729776247848537,0.5605702273025883,0.6572253698605189,0.7482059627390596,0.6746802721088435,0.3245506625267853,0.6695621823525809
2,KthNN,0.9138722524549295,0.43794376597557505,0.7314974182444063,0.5594018056572255,0.6556917610288603,0.7319465645062293,0.6659727891156463,0.32502623868456726,0.6526838527952973
3,LOF,0.8298422156689872,0.4367130550033135,0.6890418818129661,0.5579424517146236,0.5884323762534014,0.7742268600723551,0.6466394557823129,0.34024194253728074,0.699131100361276
4,CBLOF,0.29039613291581795,0.3526460285903626,0.7366609294320138,0.5249263284344088,0.520762918782451,0.45010371210609845,0.3844625850340136,0.5781530152621682,0.621987630886045
5,uCBLOF,0.9080655458608214,0.40787023888415536,0.691336775674125,0.5592375696829776,0.6520581023825338,0.7135606922837225,0.6269115646258503,0.3390530021428259,0.5910954626171085
6,LOoP,0.8614598850819323,0.43819621950834675,0.6620768789443487,0.5544606490605702,0.5941678283393683,0.7918666064344057,0.6473061224489797,0.35308523199370273,0.693882799583614
7,LDCOF,0.7752713343264523,0.4298968096184796,0.6044176706827309,0.47903410477316666,0.45194911326766374,0.6658599008817504,0.5359047619047619,0.3953404469322604,0.5318645520788684
8,HBOS,0.8639680175113246,0.48086086654675125,0.4819277108433735,0.569354505696642,0.5665052739494283,0.5468906623943547,0.6934217687074831,0.35737635019897673,0.6217218786357235
9,OCSVM,0.906241449548536,0.39893969516235916,0.6623637406769937,0.5961672016066971,0.6533492218020411,0.687900220316566,0.6516054421768708,0.3964391918485154,0.5793117384116098
10,Nu-OCSVM,0.9068190800474265,0.3929123670674366,0.6672403901319564,0.49510576796741557,0.6528192295554532,0.6783484640136445,0.6433809523809525,0.47267077010539205,0.5793117384116098
11,RED1,0.9017116103730276,0.4724352298904982,0.7292025243832473,0.5582052292734201,0.6578763417821867,0.6861924420742217,0.7082176870748299,0.3312852582323873,0.4376866082909803
12,RED2,0.9386191590916001,0.49335731641894665,0.74469305794607,0.561959194399084,0.646151398426285,0.7049648555967211,0.7420680272108844,0.3464654305330826,0.6385720409038025
