,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.00229018304046912,0.5537279781816112,0.4586896122085197,0.0143451477072005,0.034150537715138686,0.7593846816090841,0.14053715267207018,0.6160121037252442,0.04091009070340216
1,KNN,0.05236054988849221,0.7459552416715183,0.38991633998512554,0.015032487987003086,0.08879684659184697,0.2032850067590096,0.3334809002392294,0.6005469315407368,0.06330439814593644
2,KthNN,0.031212266871333227,0.7445891865584574,0.3934201087358314,0.014944968983362074,0.07083543142920698,0.22209994762046073,0.2836689153762599,0.5141099013142785,0.05830520362908465
3,LOF,0.20195888966076322,0.29728191810542287,0.5169427690104381,0.014918582540790305,0.1065143177445842,0.02457021391499728,0.4121748919762942,0.6244965733949879,0.07808974682117405
4,CBLOF,0.0028121862249429613,0.07001270940796764,0.014666727908208697,0.016299216915821108,0.035894790077663635,0.16123921905398914,0.09140183417263173,0.04530194096381549,0.057152963464826095
5,uCBLOF,0.011320007351626957,0.5153358824620945,0.437063011868844,0.015281901282776424,0.040520907389962973,0.8060979747468595,0.32512191293053183,0.5740712166626096,0.05187851574594347
6,LOoP,0.18954564516865433,0.26982120046647273,0.5968288655788656,0.01493211799809835,0.13455685728127817,0.022804431099092488,0.37659101996053124,0.27054812347417473,0.08109783571326915
7,LDCOF,0.0074886645129530124,0.28412628302204274,0.41957671957671955,0.01566812978070712,0.04377140089595849,0.9261336509919439,0.14509577000118487,0.3808055449172658,0.055571023780291065
8,HBOS,0.0038355882765656085,0.34730274334727373,0.4214915409134476,0.015642629413910168,0.034396601404241535,0.9341007698301932,0.1022962763182752,0.5731026895184814,0.09873526938751567
9,OCSVM,0.004637430699288896,0.6686587084032483,0.4189829170248724,0.014316058211528137,0.04063751205564939,0.8173414420306793,0.23264319697754113,0.6142705295469755,0.04795949823164128
10,Nu-OCSVM,0.005101539390739526,0.6584043973251797,0.41876341655196847,0.013655846961755,0.04012457362833243,0.8164456801153281,0.2587094109423668,0.5986143106873737,0.04795949823164128
